,item_id,labels,en,es-CO,de,context
255,ToM-scene6-q5,theory-of-mind,What does Maria tell Dad?,¿Qué le dice María a Papá?,Was sagt Maria zu Papa?,"ToM-scene6-q5
Final es-co & de translation review complete"
256,ToM-scene6-q6,theory-of-mind,What does Sam think they are selling at the shop?,¿Qué cree Sam que venden en la tienda?,What does Sam think they are selling at the shop?,"ToM-scene6-q6
Final es-co & de translation review complete"
257,ToM-scene6-instruct6,theory-of-mind,Sam is very happy to get his new socks.,Sam está muy feliz por recibir sus medias nuevas.,Sam freut sich sehr über seine neuen Socken.,"ToM-scene6-instruct6
"
258,hostile-attribution-scene1-instruct1,hostile-attribution,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.,Imagina que vas camino a la escuela y llevas puestos tus zapatos nuevos. Te gustan mucho tus zapatos nuevos y es la primera vez que los usas.,"Stell dir vor, du gehst zur Schule und trägst deine neuen Schuhe. Du magst deine neuen Schuhe sehr und heute ist der erste Tag, an dem du sie trägst.","hostile-attribution-scene1-instruct1
Final es-co & de translation review complete"
259,hostile-attribution-scene1-instruct2,hostile-attribution,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.","De repente, un chico te golpea por detrás. Tropiezas y caes en un charco de barro y tus zapatos nuevos se ensucian de barro.",Plötzlich wirst du von einem Jungen von hinten angerempelt. Du stolperst und fällst in eine Schlammpfütze und deine neuen Schuhe sind schlammig.,"hostile-attribution-scene1-instruct2
Final es-co & de translation review complete"
260,hostile-attribution-scene1-q1,hostile-attribution,Do you think that the boy bumped you on purpose or by accident?,¿Crees que el chico te golpeó a propósito o por accidente?,"Glaubst du, dass der Junge dich absichtlich oder aus Versehen angerempelt hat?","hostile-attribution-scene1-q1
Final es-co & de translation review complete"
261,hostile-attribution-scene1-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Elige una de las tres opciones que tú harías:,"Wähle nun eine der drei Möglichkeiten aus, die du tun würdest:","hostile-attribution-scene1-q2
Final es-co & de translation review complete"
262,hostile-attribution-scene1-q2-ans1,hostile-attribution,clean up my shoes,limpiar mis zapatos,meine Schuhe sauber machen,"hostile-attribution-scene1-q2-ans1
Final es-co & de translation review complete"
263,hostile-attribution-scene1-q2-ans2,hostile-attribution,walk away from the boy,alejarme del chico,sich von dem Jungen entfernen,"hostile-attribution-scene1-q2-ans2
Final es-co & de translation review complete"
264,hostile-attribution-scene1-q2-ans3,hostile-attribution,push the boy in the mud,empujar al chico al barro,den Jungen in den Schlamm stoßen,"hostile-attribution-scene1-q2-ans3
Final es-co & de translation review complete"
265,hostile-attribution-scene2-instruct1,hostile-attribution,"Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.","Imagina que estás en el patio de recreo. Tú y otros niños están haciendo una carrera. Un niño está parado a un lado, haciendo rebotar una pelota de baloncesto.","Stell dir vor, du bist auf einem Spielplatz. Du und einige andere Kinder liefern sich ein Rennen. Ein Junge steht am Rand und wirft einen Basketball.","hostile-attribution-scene2-instruct1
Es-co complete, de still needs review."
266,hostile-attribution-scene2-instruct2,hostile-attribution,"The next thing you know, the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.","De repente, el chico hace rebotar la pelota y rueda bajo tus pies, haciéndote caer. Te raspas la rodilla, y alguien más gana la carrera.",Dann rollt der Ball von dem Jungen unter deine Füße und du fällst hin. Du schürfst dir das Knie auf und ein anderer gewinnt das Rennen.,"hostile-attribution-scene2-instruct2
Es-co complete, de still needs review."
267,hostile-attribution-scene2-q1,hostile-attribution,Do you think that the boy made you fall on purpose or by accident?,¿Crees que el chico te hizo caer a propósito o por accidente?,"Glaubst du, dass der Junge dich mit Absicht oder aus Versehen zu Boden gestoßen hat?","hostile-attribution-scene2-q1
Final es-co & de translation review complete"
268,hostile-attribution-scene2-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Elige una de las tres opciones que tú harías:,"Wähle nun eine der drei Möglichkeiten aus, die du tun würdest:","hostile-attribution-scene2-q2
Final es-co & de translation review complete"
269,hostile-attribution-scene2-q2-ans1,hostile-attribution,go to another area of the playground,ir a otra zona del patio de recreo,in einen anderen Bereich des Spielplatzes gehen,"hostile-attribution-scene2-q2-ans1
Final es-co & de translation review complete"
270,hostile-attribution-scene2-q2-ans2,hostile-attribution,say something mean to him,insultar al niño,etwas Gemeines zu ihm sagen,"hostile-attribution-scene2-q2-ans2
Final es-co & de translation review complete"
271,hostile-attribution-scene2-q2-ans3,hostile-attribution,take care of my knee,curar mi rodilla,mich um mein Knie kümmern,"hostile-attribution-scene2-q2-ans3
Final es-co & de translation review complete"
272,hostile-attribution-scene3-instruct1,hostile-attribution,Imagine that you are working on an assignment at your desk. ,Imagina que estás trabajando en una tarea en tu escritorio.,"Stell dir vor, du arbeitest an deinem Schreibtisch an einer Aufgabe. ","hostile-attribution-scene3-instruct1
Final es-co & de translation review complete"
273,hostile-attribution-scene3-instruct2,hostile-attribution,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there. ","Te levantas para sacarle punta a tu lápiz y, de regreso a tu escritorio, vas detrás de un niño que camina justo delante de ti. El niño pasa por tu escritorio antes de que tú llegues.","Du gehst deinen Bleistift anspitzen, und als du zu deinem Schreibtisch zurückgehst, läuft ein Junge direkt vor dir. Der Junge geht an deinem Schreibtisch vorbei, bevor du ihn erreichst. ","hostile-attribution-scene3-instruct2
Final es-co & de translation review complete"
274,hostile-attribution-scene3-instruct3,hostile-attribution,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.","De repente, el chico tira todos los papeles que estaban en tu escritorio y ahora están regados en el suelo.","Das nächste ist, dass der Junge alle deine Papiere von deinem Schreibtisch geworfen hat und sie überall auf dem Boden liegen.","hostile-attribution-scene3-instruct3
Es-co complete, de still needs review."
275,hostile-attribution-scene3-q1,hostile-attribution,Do you think the boy knocked your papers onto the floor on purpose or by accident?,¿Crees que el chico tiró tus papeles al suelo a propósito o por accidente?,"Glaubst du, der Junge hat deine Papiere absichtlich oder aus Versehen auf den Boden geworfen?","hostile-attribution-scene3-q1
Es-co complete, de still needs review."
276,hostile-attribution-scene3-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Elige una de las tres opciones que tú harías:,"Wähle nun eine der drei Möglichkeiten aus, die du tun würdest:","hostile-attribution-scene3-q2
Final es-co & de translation review complete"
277,hostile-attribution-scene3-q2-ans1,hostile-attribution,call him a name,insultar al niño,ihn beleidigen,"hostile-attribution-scene3-q2-ans1
Final es-co & de translation review complete"
278,hostile-attribution-scene3-q2-ans2,hostile-attribution,pick up the papers,recoger los papeles,die Papiere aufsammeln,"hostile-attribution-scene3-q2-ans2
Final es-co & de translation review complete"
279,hostile-attribution-scene3-q2-ans3,hostile-attribution,do nothing,no hacer nada,nichts tun,"hostile-attribution-scene3-q2-ans3
Final es-co & de translation review complete"
280,hostile-attribution-scene1-by-accident,theory-of-mind,by accident,por accidente,aus Versehen,"hostile-attribution-scene1-by-accident
Final es-co & de translation review complete"
281,hostile-attribution-scene1-on-purpose,theory-of-mind,on purpose,a propósito,absichtlich,"hostile-attribution-scene1-on-purpose
Final es-co & de translation review complete"
282,hostile-attribution-scene2-by-accident,theory-of-mind,by accident,por accidente,aus Versehen,"hostile-attribution-scene2-by-accident
Final es-co & de translation review complete"
283,hostile-attribution-scene2-on-purpose,theory-of-mind,on purpose,a propósito,absichtlich,"hostile-attribution-scene2-on-purpose
Final es-co & de translation review complete"
284,hostile-attribution-scene3-by-accident,theory-of-mind,by accident,por accidente,aus Versehen,"hostile-attribution-scene3-by-accident
Final es-co & de translation review complete"
285,hostile-attribution-scene3-on-purpose,theory-of-mind,on purpose,a propósito,absichtlich,"hostile-attribution-scene3-on-purpose
Final es-co & de translation review complete"
286,am,same-different-selection,"This is the matching game. In this game, you're going to choose sets of cards that match in some way. First, let's look at some of the cards you are going to see.","Este es el juego de parejas. En este juego, vas a elegir conjuntos de cartas que se parecen de alguna manera. Primero, veamos algunas de las cartas que vas a ver.","Jetzt spielen wir ein Spiel, bei dem es darum geht, Karten auszuwählen, die auf irgendeine Art zusammenpassen. Lass uns mal schauen, wie die Karten aussehen, die du in dem Spiel sehen wirst. ","am
Final es-co & de translation review complete"
287,same-different-selection-touch-circle,same-different-selection,Choose the card with a circle.,Escoge la carta que tiene un círculo.,Wähle die Karte mit einem Kreis.,"same-different-selection-touch-circle
Final es-co & de translation review complete"
288,same-different-selection-touch-square,same-different-selection,Choose the card with a square.,Escoge la carta que tiene un cuadrado.,Wähle die Karte mit einem Quadrat. ,"same-different-selection-touch-square
Final es-co & de translation review complete"
289,same-different-selection-touch-triangle,same-different-selection,Choose the card with a triangle.,Escoge la carta que tiene un triángulo.,Wähle die Karte mit einem Dreieck.,"same-different-selection-touch-triangle
Final es-co & de translation review complete"
290,same-different-selection-touch-star,same-different-selection,Choose the card with a star.,Escoge la carta que tiene una estrella.,Wähle die Karte mit einem Stern.,"same-different-selection-touch-star
Final es-co & de translation review complete"
291,same-different-selection-touch-green,same-different-selection,Choose the card with a green shape.,Escoge la carta que tiene una figura verde.,Wähle die Karte mit einer grünen Form.,"same-different-selection-touch-green
Final es-co & de translation review complete"
292,same-different-selection-touch-red,same-different-selection,Choose the card with a red shape.,Escoge la carta que tiene una figura roja.,Wähle die Karte mit einer roten Form.,"same-different-selection-touch-red
Final es-co & de translation review complete"
293,same-different-selection-touch-blue,same-different-selection,Choose the card with a blue shape.,Escoge la carta que tiene una figura azul.,Wähle die Karte mit einer blauen Form.,"same-different-selection-touch-blue
Final es-co & de translation review complete"
294,same-different-selection-touch-yellow,same-different-selection,Choose the card with a yellow shape.,Escoge la carta que tiene una figura amarilla.,Wähle die Karte mit einer gelben Form.,"same-different-selection-touch-yellow
Final es-co & de translation review complete"
295,same-different-selection-touch-small,same-different-selection,Choose the card with a small shape.,Escoge la carta que tiene una figura pequeña.,Wähle die Karte mit einer kleinen Form.,"same-different-selection-touch-small
Final es-co & de translation review complete"
296,same-different-selection-touch-medium,same-different-selection,Choose the card with a medium-sized shape.,Escoge la carta que tiene una figura mediana.,Wähle die Karte mit einer mittelgroßen Form.,"same-different-selection-touch-medium
Final es-co & de translation review complete"
297,same-different-selection-touch-large,same-different-selection,Choose the card with a large shape.,Escoge la carta que tiene una figura grande.,Wähle die Karte mit einer großen Form.,"same-different-selection-touch-large
Final es-co & de translation review complete"
298,same-different-selection-touch-white,same-different-selection,Choose the star on the white card.,Escoge la estrella en la carta blanca.,Wähle den Stern auf der weißen Karte.,"same-different-selection-touch-white
Final es-co & de translation review complete"
299,same-different-selection-touch-gray,same-different-selection,Choose the star on the gray card.,Escoge la estrella en la carta gris.,Wähle den Stern auf der grauen Karte.,"same-different-selection-touch-gray
Final es-co & de translation review complete"
300,same-different-selection-touch-black,same-different-selection,Choose the star on the black card.,Escoge la estrella en la carta negra.,Wähle den Stern auf der schwarzen Karte.,"same-different-selection-touch-black
Final es-co & de translation review complete"
301,same-different-selection-touch-striped,same-different-selection,Choose the star on the striped card.,Escoge la estrella en la carta con rayas.,Wähle den Stern auf der gestreiften Karte.,"same-different-selection-touch-striped
Final es-co & de translation review complete"
302,same-different-selection-touch-1,same-different-selection,Choose the card with 1 star.,Escoge la carta con 1 estrella.,Wähle die Karte mit einem Stern.,"same-different-selection-touch-1
Final es-co & de translation review complete"
303,same-different-selection-touch-2,same-different-selection,Choose the card with 2 stars.,Escoge la carta con 2 estrellas.,Wähle die Karte mit zwei Sternen.,"same-different-selection-touch-2
Final es-co & de translation review complete"
304,same-different-selection-touch-3,same-different-selection,Choose the card with 3 stars.,Escoge la carta con 3 estrellas.,Wähle die Karte mit drei Sternen.,"same-different-selection-touch-3
Final es-co & de translation review complete"
305,same-different-selection-touch-4,same-different-selection,Choose the card with 4 stars.,Escoge la carta con 4 estrellas.,Wähle die Karte mit vier Sternen.,"same-different-selection-touch-4
Final es-co & de translation review complete"
306,same-different-selection-instruct2,same-different-selection,Now you're going to see two cards that are the same in one way. Then you will see a new card that is similar to one of those cards. Your job is to choose the card that is similar to the new card.,Ahora vas a ver dos cartas que son iguales de alguna manera. Luego vas a ver una nueva carta que se parece a una de esas cartas. Tu trabajo es elegir la carta que se parece en algo a esa nueva carta.,"Jetzt siehst du zwei Karten, die in einer Hinsicht gleich sind. Dann siehst du eine neue Karte, die einer der ersten beiden Karten ähnlich ist. Deine Aufgabe ist es, die Karte zu wählen, die der neuen Karte ähnlich ist.","same-different-selection-instruct2
Final es-co & de translation review complete"
307,same-different-selection-instruct3,same-different-selection,"Now you're going to see three cards, and you're going to choose two that are the same in some way. Then you're going to see the same cards again, and pick two cards that are the same in a different way.","Ahora vas a ver tres cartas y debes escoger dos que sean iguales de alguna manera. Luego vas a ver las mismas tres cartas, pero  vas a escoger otras dos cartas que sean iguales de alguna otra manera.","Jetzt siehst du drei Karten und wählst zwei aus, die auf irgendeine Weise gleich sind. Dann siehst du dieselben Karten noch einmal und wählst zwei Karten aus, die auf eine andere Weise gleich sind.","same-different-selection-instruct3
Final es-co & de translation review complete"
308,same-different-selection-both-circles,same-different-selection,Here are two cards. Something's the same. They both have circles.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen círculos.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Kreise.,"same-different-selection-both-circles
Final es-co & de translation review complete"
309,same-different-selection-both-squares,same-different-selection,Here are two cards. Something's the same. They both have squares.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen cuadrados.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Quadrate.,"same-different-selection-both-squares
Final es-co & de translation review complete"
310,same-different-selection-both-triangles,same-different-selection,Here are two cards. Something's the same. They both have triangles.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen triángulos.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Dreiecke.,"same-different-selection-both-triangles
Final es-co & de translation review complete"
311,same-different-selection-both-red,same-different-selection,Here are two cards. Something's the same. They both have red shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras rojas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen Formen.,"same-different-selection-both-red
Final es-co & de translation review complete"
312,same-different-selection-both-green,same-different-selection,Here are two cards. Something's the same. They both have green shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras verdes.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen grüne Formen.,"same-different-selection-both-green
Final es-co & de translation review complete"
313,same-different-selection-both-yellow,same-different-selection,Here are two cards. Something's the same. They both have yellow shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras amarillas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen gelbe Formen.,"same-different-selection-both-yellow
Final es-co & de translation review complete"
314,same-different-selection-both-blue,same-different-selection,Here are two cards. Something's the same. They both have blue shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras azules.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen blaue Formen.,"same-different-selection-both-blue
Final es-co & de translation review complete"
315,same-different-selection-both-small,same-different-selection,Here are two cards. Something's the same. They both have small shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras pequeñas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen kleine Formen.,"same-different-selection-both-small
Final es-co & de translation review complete"
316,same-different-selection-both-medium,same-different-selection,Here are two cards. Something's the same. They both have medium-sized shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras medianas.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen mittelgroße Formen.,"same-different-selection-both-medium
Final es-co & de translation review complete"
317,same-different-selection-both-large,same-different-selection,Here are two cards. Something's the same. They both have large shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras grandes.,Hier sind zwei Karten. Sie haben etwas gemeinsam. Beide zeigen große Formen.,"same-different-selection-both-large
Final es-co & de translation review complete"
318,sds-prompt3,same-different-selection,Here is another card. Which of these is similar to this one?,Aquí hay otra carta. ¿Cuál de estas tiene algo que es igual a esta?,Hier ist eine weitere Karte. Welche Karte sieht dieser ähnlich? ,"sds-prompt3
Final es-co & de translation review complete"
319,sds-3match-prompt2,same-different-selection,Here is the same set of cards again. Choose two cards that are the same in a different way.,Aquí están otra vez las mismas cartas. Ahora debe escoger dos cartas que sean pareja porque son iguales en algo diferente.,"Hier siehst du die gleichen Karten nochmal. Wähle zwei Bilder aus, die auf unterschiedliche Art und Weise gleich sind.","sds-3match-prompt2
Final es-co & de translation review complete"
320,sds-2match-prompt1,same-different-selection,Here is a new set of cards. Choose two cards that are the same in some way.,Aquí hay un nuevo grupo de cartas. Escoge dos cartas que sean iguales en algún aspecto. ,"Hier sind neue Karten. Wähle zwei Karten aus, die in irgendeiner Weise gleich sind.","sds-2match-prompt1
Final es-co & de translation review complete"
321,sds-2match-prompt2,same-different-selection,Choose two cards that are the same in a different way.,Escoge dos cartas que sean pareja porque son iguales en algo diferente. ,"Wähle zwei Karten, die auf unterschiedliche Weise gleich sind.","sds-2match-prompt2
Final es-co & de translation review complete"
322,sds-3unique-prompt1,same-different-selection,Choose three cards that are the same in only one way.,Escoge tres cartas que sean iguales en un solo aspecto. ,"Wähle drei Karten aus, die in irgendeiner Weise gleich sind.","sds-3unique-prompt1
Final es-co & de translation review complete"
323,sds-3unique-prompt2,same-different-selection,Choose another three cards that are the same in only one way.,Escoge otras tres cartas que sean iguales en un solo aspecto.,"Wähle drei weitere Karten aus, die auf unterschiedliche Art und Weise gleich sind.","sds-3unique-prompt2
Final es-co & de translation review complete"
324,memory-game-display,memory-game,Watch the squares light up.,Observa cómo se iluminan los cuadrados.,Watch the squares light up.,"memory-game-display
Final es-co & de translation review complete"
325,memory-game-input,memory-game,Touch the squares in the same order.,Selecciona los cuadrados en el orden en que fueron destacados.,Touch the squares in the same order.,"memory-game-input
Final es-co & de translation review complete"
326,memory-game-instruct1,memory-game,This is the memory game. Here's how you play it.,Este es el juego de la memoria. Las reglas son las siguientes.,This is the memory game. Here's how you play it.,"memory-game-instruct1
Final es-co & de translation review complete"
327,memory-game-instruct2,memory-game,You will see squares light up.,Verás que los cuadrados se iluminan.,You will see squares light up.,"memory-game-instruct2
Final es-co & de translation review complete"
328,memory-game-instruct3,memory-game,You're going to touch the squares in the same order.,Vas a tocar los cuadrados en el mismo orden.,You're going to touch the squares in the same order.,"memory-game-instruct3
Final es-co & de translation review complete"
329,memory-game-instruct4,memory-game,Watch carefully! Try to remember the order.,¡Observa con atención! Intenta recordar el orden.,Watch carefully! Try to remember the order.,"memory-game-instruct4
Final es-co & de translation review complete"
330,memory-game-forward-prompt,memory-game,Choose the squares in the same order.,Escoge los cuadrados en el mismo orden.,Choose the squares in the same order.,"memory-game-forward-prompt
Final es-co & de translation review complete"
331,memory-game-forward-try-again,memory-game,That's not right. Try again. Choose the squares in the same order.,La respuesta no es correcta.  Inténtalo de nuevo. Escoge los cuadrados en el mismo orden.,Das ist nicht richtig. Versuch es noch einmal. Wähle die Quadrate in der gleichen Reihenfolge.,"memory-game-forward-try-again
"
332,memory-game-instruct5,memory-game,This time the game won't tell you if you're right or wrong. Let’s start playing the memory game!,Esta vez el juego no te dirá si la respuesta es correcta o no. ¡Empecemos a jugar al juego de memoria!,"Dieses Mal wird dir das Spiel nicht sagen, ob du richtig oder falsch liegst. Los geht's mit dem Memory-Spiel!","memory-game-instruct5
Final es-co & de translation review complete"
333,memory-game-instruct7,memory-game,Let’s start playing the memory game!,¡Empecemos a jugar al juego de memoria!,Let’s start playing the memory game!,"memory-game-instruct7
Final es-co & de translation review complete"
334,memory-game-backward-prompt,memory-game,Choose the squares in the backward order.,Escoge los cuadrados siguiendo el orden inverso a la secuencia.,Choose the squares in the backward order.,"memory-game-backward-prompt
Final es-co & de translation review complete"
335,memory-game-backward-try-again,memory-game,That's not right. Try again. Choose the squares in the backward order.,La respuesta no es correcta.  Inténtalo de nuevo. Escoge los cuadrados en orden inverso.,Das ist nicht richtig. Versuch es noch einmal. Wähle die Quadrate in der umgekehrten Reihenfolge.,"memory-game-backward-try-again
"
336,heart-instruct1,hearts-and-flowers,This is the heart game. Here's how you play it.,Este es el juego del corazón. Las reglas son las siguientes.,This is the heart game. Here's how you play it.,"heart-instruct1
Final es-co & de translation review complete"
337,heart-instruct2,hearts-and-flowers,"When you see a heart, press the button on the same side.","Cuando veas un corazón, presiona el botón del mismo lado.","Wenn du ein Herz siehst, drücke den Knopf auf der gleichen Seite.","heart-instruct2
Final es-co & de translation review complete"
338,hearts-and-flowers-try-again,hearts-and-flowers,That's not right. Try again.,Eso no está bien. Inténtalo de nuevo.,That's not right. Try again.,"hearts-and-flowers-try-again
Final es-co & de translation review complete"
339,heart-practice-feedback1,hearts-and-flowers,The heart is on the right side. Press the right button.,El corazón está en el lado derecho. Presiona el botón derecho.,The heart is on the right side. Press the right button.,"heart-practice-feedback1
Final es-co & de translation review complete"
340,hearts-and-flowers-practice-time,hearts-and-flowers,Time to practice!,¡Es hora de practicar!,Time to practice!,"hearts-and-flowers-practice-time
Final es-co & de translation review complete"
341,heart-practice-feedback2,hearts-and-flowers,"Remember! When you see a HEART, press the button on the SAME side.","¡Recuerda! Cuando veas un CORAZÓN, presiona el botón del MISMO lado.","Remember! When you see a HEART, press the button on the SAME side.","heart-practice-feedback2
Final es-co & de translation review complete"
342,hearts-and-flowers-instruct1,hearts-and-flowers,This time the game will go faster. It won't tell you if you are right or wrong. Try to keep up!,Esta vez el juego irá más rápido. No te dirá si la respuesta es correcta o no. ¡Trata de seguir el ritmo!,"Jetzt spielen wir das Spiel schneller. Es wird dir nicht sagen, ob du richtig oder falsch liegst. Versuch hinterherzukommen!","hearts-and-flowers-instruct1
Final es-co & de translation review complete"
343,hearts-and-flowers-instruct2,hearts-and-flowers,"Try to answer as fast as you can without making mistakes. If you make a mistake, just keep going!","Intenta responder lo más rápido que puedas sin cometer errores. Si cometes un error, ¡sigue adelante!","Versuche, so schnell wie möglich zu antworten, ohne Fehler zu machen. Wenn du einen Fehler machst, mach einfach weiter!","hearts-and-flowers-instruct2
Final es-co & de translation review complete"
344,hearts-and-flowers-play-time,hearts-and-flowers,Time to play!,¡Hora de jugar!,Time to play!,"hearts-and-flowers-play-time
Final es-co & de translation review complete"
345,flower-instruct1,hearts-and-flowers,This is the flower game. Here's how you play it.,Este es el juego de las flores. Las reglas son las siguientes.,Das ist das Blumenspiel. Ich erkläre dir jetzt wie das Blumenspiel funktioniert.,"flower-instruct1
Final es-co & de translation review complete"
346,flower-instruct2,hearts-and-flowers,"When you see a flower, press the button on the opposite side.","Cuando veas una flor, presiona el botón del lado opuesto.","When you see a flower, press the button on the opposite side.","flower-instruct2
Final es-co & de translation review complete"
347,flower-practice-feedback1,hearts-and-flowers,The flower is on the left side. Press the right button.,La flor está en el lado izquierdo. Presione el botón derecho.,The flower is on the left side. Press the right button.,"flower-practice-feedback1
Final es-co & de translation review complete"
348,flower-practice-feedback2,hearts-and-flowers,"When you see a FLOWER, press the button on the OPPOSITE side.","Cuando veas una FLOR, presiona el botón en el lado OPUESTO.","When you see a FLOWER, press the button on the OPPOSITE side.","flower-practice-feedback2
Final es-co & de translation review complete"
349,hearts-and-flowers-instruct3,hearts-and-flowers,"Now, we're going to play a game with hearts and flowers.","Ahora, vamos a jugar un juego con corazones y flores.","Now, we're going to play a game with hearts and flowers.","hearts-and-flowers-instruct3
Final es-co & de translation review complete"
350,hearts-and-flowers-encourage1,hearts-and-flowers,Try to keep up!,¡Trata de seguir el ritmo!,Try to keep up!,"hearts-and-flowers-encourage1
Final es-co & de translation review complete"
351,hearts-and-flowers-encourage2,hearts-and-flowers,"If you make a mistake, just keep going!","Si cometes un error, ¡sigue adelante!","If you make a mistake, just keep going!","hearts-and-flowers-encourage2
Final es-co & de translation review complete"
352,hearts-and-flowers-end,hearts-and-flowers,Great job! You completed the game!,"¡Bien hecho, has terminado el juego!",Gut gemacht! Dieses Spiel ist jetzt zu Ende.,"hearts-and-flowers-end
Final es-co & de translation review complete"
353,vocab-item-001,vocab,the acorn,la bellota,die eichel,"vocab-item-001
"
354,vocab-item-002,vocab,the aloe,el áloe,die aloe,"vocab-item-002
"
355,vocab-item-003,vocab,the antenna,la antena,die antenne,"vocab-item-003
"
356,vocab-item-004,vocab,the artichoke,la alcachofa,die artischocke,"vocab-item-004
"
357,vocab-item-005,vocab,the bamboo,el bambú,der bambus,"vocab-item-005
"
358,vocab-item-006,vocab,the barrel,el barril,das fass,"vocab-item-006
"
359,vocab-item-007,vocab,the blender,la licuadora,der mixer,"vocab-item-007
"
360,vocab-item-008,vocab,the blower,el soplador,das gebläse,"vocab-item-008
"
361,vocab-item-009,vocab,the bouquet,el ramo,der blumenstrauß,"vocab-item-009
"
362,vocab-item-010,vocab,the buffet,el bufé,das buffet,"vocab-item-010
"
363,vocab-item-011,vocab,the bulldozer,la excavadora,die planierraupe,"vocab-item-011
"
364,vocab-item-012,vocab,the cake,el pastel,der kuchen,"vocab-item-012
"
365,vocab-item-013,vocab,the caramel,el caramelo,das karamell,"vocab-item-013
"
366,vocab-item-014,vocab,the carousel,el carrusel,das karussell,"vocab-item-014
"
367,vocab-item-015,vocab,the carrot,la zanahoria,die karotte,"vocab-item-015
"
368,vocab-item-016,vocab,the cassette,el casete,die kassette,"vocab-item-016
"
369,vocab-item-017,vocab,the cheese,el queso,der käse,"vocab-item-017
"
370,vocab-item-018,vocab,the cloak,la capucha,der mantel,"vocab-item-018
"
371,vocab-item-019,vocab,the clothespin,la pinza para la ropa,die wäscheklammer,"vocab-item-019
"
372,vocab-item-020,vocab,the coaster,el portavasos,der untersetzer,"vocab-item-020
"
373,vocab-item-021,vocab,the cork,el corcho,der korken,"vocab-item-021
"
374,vocab-item-022,vocab,the cornbread,el pan de maíz,das maisbrot,"vocab-item-022
"
375,vocab-item-023,vocab,the corset,el corsé,das korsett,"vocab-item-023
"
376,vocab-item-024,vocab,the dumpling,el dumpling,der Teigtaschen,"vocab-item-024
"
377,vocab-item-025,vocab,the elbow,el codo,der ellbogen,"vocab-item-025
"
378,vocab-item-026,vocab,the fan,el ventilador,der ventilator,"vocab-item-026
"
379,vocab-item-027,vocab,the foam,la espuma,der schaumstoff,"vocab-item-027
"
380,vocab-item-028,vocab,the footbath,la lavapiés,das fußbad,"vocab-item-028
"
381,vocab-item-029,vocab,the fruitcake,el pastel de frutas,der obstkuchen,"vocab-item-029
"
382,vocab-item-030,vocab,the gutter,la canaleta,die dachrinne,"vocab-item-030
"
383,vocab-item-031,vocab,the hamster,el hámster,der hamster,"vocab-item-031
"
384,vocab-item-032,vocab,the hedgehog,el erizo,der igel,"vocab-item-032
"
385,vocab-item-033,vocab,the hoe,la azadilla,die hacke,"vocab-item-033
"
386,vocab-item-034,vocab,the hopscotch,la golosa,Himmel und Hölle,"vocab-item-034
"
387,vocab-item-035,vocab,the kimono,el kimono,der kimono,"vocab-item-035
"
388,vocab-item-036,vocab,the latch,el cerrojo,der riegel,"vocab-item-036
"
389,vocab-item-037,vocab,the locker,el casillero,das schließfach,"vocab-item-037
"
390,vocab-item-038,vocab,the lollipop,la chupeta,der lollipop,"vocab-item-038
"
391,vocab-item-039,vocab,the map,el mapa,die karte,"vocab-item-039
"
392,vocab-item-040,vocab,the marshmallow,el malvavisco,der marshmallow,"vocab-item-040
"
393,vocab-item-041,vocab,the net,la malla,das netz,"vocab-item-041
"
394,vocab-item-042,vocab,the oil,el aceite,das öl,"vocab-item-042
"
395,vocab-item-043,vocab,the omelet,la tortilla,das omelett,"vocab-item-043
"
