old_flat_key,new_flat_key,oldDefault,newDefault,olden,newen,olden-US,newen-US,oldde,newde,oldde-DE,newde-DE,oldes,newes,oldesCO,newesCO
pages_4_elements_0_elements_4_elements_1_title,pages_4_elements_0_elements_4_elements_0_title,Major change in finances (decreased income).,Major change in finances (decreased income).,missing key,Major change in finances (decreased income).,missing key,Major change in finances (decreased income).,Starke Veränderung der Finanzen (Einkommensrückgang).,Starke Veränderung der Finanzen (Einkommensrückgang).,missing key,missing key,Cambio importante en las finanzas (disminución de ingresos).,missing key,missing key,Cambio importante en las finanzas (disminución de ingresos).
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_4_elements_1_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_4_elements_1_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_4_elements_2_title,pages_4_elements_0_elements_4_elements_1_title,Major change in finances (investment and/or credit difficulties).,Major change in finances (investment and/or credit difficulties).,missing key,Major change in finances (investment and/or credit difficulties).,missing key,Major change in finances (investment and/or credit difficulties).,Größere Veränderung der Finanzen (Investitions- und/oder Kreditschwierigkeiten).,Größere Veränderung der Finanzen (Investitions- und/oder Kreditschwierigkeiten).,missing key,missing key,Cambio importante en las finanzas (dificultades de inversión y/o de crédito).,missing key,missing key,Cambio importante en las finanzas (dificultades de inversión y/o de crédito).
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_4_elements_2_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_4_elements_2_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_4_elements_6_title,pages_4_elements_0_elements_4_elements_2_title,Foreclosure on a mortgage or loan.,Foreclosure on a mortgage or loan.,missing key,Foreclosure on a mortgage or loan.,missing key,Foreclosure on a mortgage or loan.,Zwangsvollstreckung einer Hypothek oder eines Kredits.,Zwangsvollstreckung einer Hypothek oder eines Kredits.,missing key,missing key,Ejecución de una hipoteca o préstamo.,missing key,missing key,Ejecución de una hipoteca o préstamo.
pages_4_elements_0_elements_4_title,pages_4_elements_0_elements_4_title,Financial:,Financial:,missing key,Financial:,missing key,Financial:,Finanzen:,Finanzen:,missing key,missing key,Financiera:,missing key,missing key,Financiera:
,pages_4_elements_0_title,missing key,Please select Yes or No to indicate whether each event has happened to you <b>in the past year.</b>,missing key,Please select Yes or No to indicate whether each event has happened to you <b>in the past year</b>.,missing key,Please select Yes or No to indicate whether each event has happened to you <b>in the past year</b>.,missing key,"Bitte wählen Sie Ja oder Nein, um anzugeben, ob Ihnen das jeweilige Ereignis im vergangenen Jahr widerfahren ist.",missing key,missing key,missing key,missing key,missing key,Indique con Sí o No si le ha sucedido alguna de las siguientes cosas <b>en el último año</b>.
,pages_5_elements_0_title,missing key,"<b>Instructions:</b> Think of this line as representing where people stand in the <i>country where you live</i>. To the <b>right</b> are the people who are the best off - those who have the most money, the most education, and the most respected jobs. To the <b>left</b> are the people who are the worst off - those who have the least money, the least education, the least respected jobs, or no job. The further to the right you are on the line, the closer you are to the people at the very top; the further to the left you are, the closer you are to the people at the very bottom. <br><b>Where would you place yourself on this line?</b><br> Move the slider to where you think you stand at this time in your life relative to other people in your country.",missing key,"<b>Instructions:</b> Think of this line as representing where people stand in the <i>country where you live</i>. To the <b>right</b> are the people who are the best off - those who have the most money, the most education, and the most respected jobs. To the <b>left</b> are the people who are the worst off - those who have the least money, the least education, the least respected jobs, or no job. The further to the right you are on the line, the closer you are to the people at the very top; the further to the left you are, the closer you are to the people at the very bottom.<br><b>Where would you place yourself on this line?</b><br>Move the slider to where you think you stand at this time in your life relative to other people in your country.",missing key,"<b>Instructions:</b> Think of this line as representing where people stand in the <i>country where you live</i>. To the <b>right</b> are the people who are the best off - those who have the most money, the most education, and the most respected jobs. To the <b>left</b> are the people who are the worst off - those who have the least money, the least education, the least respected jobs, or no job. The further to the right you are on the line, the closer you are to the people at the very top; the further to the left you are, the closer you are to the people at the very bottom.<br><b>Where would you place yourself on this line?</b><br>Move the slider to where you think you stand at this time in your life relative to other people in your country.",missing key,"<b>Anweisungen:</b> Stellen Sie sich vor, dass diese Linie zeigt, wo sich die Menschen<i>in dem Land, in dem Sie leben, befinden</i>. Auf der <b>rechten</b> Seite befinden sich die Menschen, denen es am besten geht - diejenigen, die das meiste Geld, die beste Ausbildung und die angesehensten Arbeitsplätze haben. Auf der <b>linken</b> Seite befinden sich die Menschen, denen es am schlechtesten geht - diejenigen, die das wenigste Geld, die geringste Bildung, die am wenigsten angesehenen Arbeitsplätze oder gar keinen Arbeitsplatz haben.Je weiter rechts Sie sich auf der Linie befinden, desto näher sind Sie den Menschen ganz oben; je weiter links Sie sind, desto näher sind Sie den Menschen ganz unten.<br><b>Wo würden Sie sich selbst auf dieser Linie einordnen?</b><br>Bewegen Sie den Schieberegler dorthin, wo Sie Ihrer Meinung nach im Vergleich zu anderen Menschen in Ihrem Land derzeit stehen.",missing key,missing key,missing key,missing key,missing key,"<b>Instrucciones:</b> Piense que esta línea representa la situación de la gente en <i>el país en el que vive</i>. <b>A la derecha</b> están las personas más acomodadas: las que tienen más dinero, más educación y los trabajos más respetados. <b>A la izquierda</b> están las personas que están en peor situación: las que tienen menos dinero, menos educación, los trabajos menos respetados o ningún trabajo. Cuanto más a la derecha se encuentre en la línea, más cerca estará de la gente que más tiene; cuanto más a la izquierda, más cerca estará de la gente que menos tiene.<br><b>¿Dónde se situaría usted en esta línea?</b><br>Mueva y ubique el círculo sobre la recta donde usted crea que encontrarse en este momento de su vida en relación con otras personas de su país."
,pages_5_elements_1_title,missing key,<b>Instructions:</b> Think of this line as representing where people stand in their <i>communities</i>. People define community in different ways; please define it in whatever way is most meaningful to you. To the <b>right</b> are people who have the highest standing in their community. To the <b>left</b> are the people who have the lowest standing in their community. <br><b>Where would you place yourself on this line?<b><br>Move the slider to where you think you stand at this time in your life relative to other people in your community.,missing key,<b>Instructions:</b> Think of this line as representing where people stand in their <i>communities</i>. People define community in different ways; please define it in whatever way is most meaningful to you. To the <b>right</b> are people who have the highest standing in their community. To the <b>left</b> are the people who have the lowest standing in their community.<br><b>Where would you place yourself on this line?</b><br>Move the slider to where you think you stand at this time in your life relative to other people in your community.,missing key,<b>Instructions:</b> Think of this line as representing where people stand in their <i>communities</i>. People define community in different ways; please define it in whatever way is most meaningful to you. To the <b>right</b> are people who have the highest standing in their community. To the <b>left</b> are the people who have the lowest standing in their community.<br><b>Where would you place yourself on this line?</b><br>Move the slider to where you think you stand at this time in your life relative to other people in your community.,missing key,"<b>Anweisungen:</b> Stellen Sie sich vor, dass diese Linie zeigt, wo die Menschen in ihren <i>Gemeinschaften</i> stehen. Menschen definieren Gemeinschaft auf unterschiedliche Weise; bitte definieren Sie sie so, wie es für Sie am sinnvollsten ist. Auf der <b>rechten</b> Seite stehen die Menschen, die den höchsten Stellenwert in ihrer Gemeinschaft haben. Auf der <b>linken</b> Seite befinden sich die Menschen, die den niedrigsten Stellenwert in ihrer Gemeinschaft haben.<br><b>Wo würden Sie sich auf dieser Linie einordnen?</b><br>Bewegen Sie den Schieberegler dorthin, wo Sie Ihrer Meinung nach im Vergleich zu den anderen Menschen in Ihrer Gemeinschaft stehen.",missing key,missing key,missing key,missing key,missing key,"<b>Instrucciones:</b> Piense que esta línea representa la posición de las personas en sus <i>comunidades</i>. La gente define la comunidad de distintas maneras; por favor, piense en la definición que a usted le resulte más significativa. <b>A la derecha</b> están las personas que gozan de mayor prestigio en su comunidad. <b>A la izquierda</> están las personas que tienen menor prestigio en su comunidad.<br><b>¿Dónde se situaría en esta línea?</b><br>Mueve y ubique el círculo sobre la recta donde usted creas que encontrarse en este momento de su vida en relación con otras personas de su comunidad."
,startSurveyText,missing key,Start Survey,missing key,Start Survey,missing key,Start Survey,missing key,Umfrage starten,missing key,Weiter,missing key,missing key,missing key,Comenzar Encuesta
