answer,assessment_stage,audio_file,block_index,chance_level,corpus_file_name,d,difficulty,image,item,item_id,item_uid,orig_item_num,prompt,randomize,required_selections,response_alternatives,source,task,task_dir,task_id,time_limit,trial_num,trial_type
9,test_response,number-line-prompt1,0,0.25,math-corpus-retest,,-0.5,,"0,100",math_line_9_100,math_line_9_100,,Choose the number that is marked on the number line.,,,"7,11,5",Zehra,math,levante-math-dev,egma-math,5000,,Number Line 4afc
precarious,test_response,vocab-item-155,1,0.25,vocab-item-bank,0.9546,,,precarious,precarious,vocab_word_precarious,,,,,"cheerful,taiqi,readaloud",dutch,vocab,levante-vocabulary-dev,vocab,,,test
6,test_response,multiplication-prompt1,1,0.25,math-item-bank,,0.1,,2x3,2x3,math_multiply_2_3,,Multiply the numbers and choose the correct answer.,,,"5,9,8",George,math,levante-math-dev,egma-math,5000,,Multiplication
tf3_66_T1_ss3_pd,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_66_M_ss3,tf3_66_M_ss3,matrix_set3_pd_mat66,66,Choose the best pattern to fill in the blank.,,,"tf3_66_T3_ss3_md,tf3_66_T4_ss3_md,tf3_66_T2_ss3_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
kazoo,test_response,vocab-item-145,1,0.25,vocab-item-bank,-0.6981,,,kazoo,kazoo,vocab_word_kazoo,,,,,"cabasa,mandolin,rainstick",dutch,vocab,levante-vocabulary-dev,vocab,,,test
14,test_response,number-line-prompt1,0,0.25,math-item-bank,,-0.5,,"0,100",line2num-14-100,math_line_14_100,,Choose the number that is marked on the number line.,,,"43,29,36",Siegler,math,levante-math-dev,egma-math,5000,,Number Line 4afc
362,test_response,number-line-prompt1,0,0.25,math-corpus-retest,,-0.2,,"0,1000",math_line_362_1000,math_line_362_1000,,Choose the number that is marked on the number line.,,,"280,267,472",Zehra,math,levante-math-dev,egma-math,5000,,Number Line 4afc
Rp-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,0.44120387,,Rp-320,Rp-320,,20,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
,first_response,sds-2match-prompt1,2,0.5,same-different-selection-item-bank,,-3.8666332,,Touch two cards that are the same.,sds-fist3-10-first,sds_2match_choice1,,,,2,"sm-blue-circle,med-blue-square,lg-yellow-square",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,10,2-match
,test_response,same-different-selection-both-triangles,1,,same-different-selection-item-bank,,-3.6418366,"sm-blue-triangle, med-red-triangle",Here are two pictures. Something's the same. They are both triangles.,sds-something-same-2-instr,,,,,0,,AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,2,something-same-1
88,test_response,number-identification-33,0,0.25,math-corpus-retest,,-2.5,,88,math_identify_88,math_identify_88,,Choose the 88.,,,"98,78,87",Zehra,math,levante-math-dev,egma-math,5000,,Number Identification
P2n-000-silh,test_response,mental-rotation-prompt1,2,0.5,mental-rotation-item-bank,,4.5,,P2n-160,P2n-160,,,Choose the matching picture.,,,"P2p-000-silh,P2n-000-silh",2d-polygon2,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,
,instructions,ToM-scene6-instruct4,6,,theory-of-mind-item-bank,,,,6d_new2,ToM-scene6-instruct4,,48,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.” “That is nice of you,” says dad. Then he asks Maria: “Does Sam know what you bought him?”",no,,,ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
tunnel,test_response,vocab-item-104,1,0.25,vocab-item-bank,,,,tunnel,tunnel,vocab_word_tunnel,,,,,"pathway,waterway,cavern",manual,vocab,levante-vocabulary-dev,vocab,,,test
,instructions,counting-intro,3,,math-item-bank,,-1,,,counting-intro,,,"In this number game, you will say how many things are in the picture! Your teacher will press the button.",,,,Amy,math,levante-math-dev,egma-math,5000,,instructions
an6-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,3.90713826,,an6-320,an6-320,,85,Choose the matching picture.,,,"an6-000,ap6-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
92,test_response,number-line-prompt1,0,0.25,math-corpus-retest,,-0.5,,"0,100",math_line_92_100,math_line_92_100,,Choose the number that is marked on the number line.,,,"72,80,69",Zehra,math,levante-math-dev,egma-math,5000,,Number Line 4afc
caramel,test_response,vocab-item-013,1,0.25,vocab-item-bank,-2.0087,,,caramel,caramel,vocab_word_caramel,,,,,"amber,olive,warthog",clip,vocab,levante-vocabulary-dev,vocab,,,test
54,test_response,multiplication-prompt2,1,0.25,math-corpus-retest,,0.2,,9x6,math_multiply_9_6,math_multiply_9_6,,Multiply the numbers.,,,"56,58,45",Zehra,math,levante-math-dev,egma-math,5000,,Multiplication
417,test_response,number-line-prompt1,0,0.25,math-item-bank,,-0.2,,"0,1000",line2num-417-1000,math_line_417_1000,,Choose the number that is marked on the number line.,,,"256,592,202",Siegler,math,levante-math-dev,egma-math,5000,,Number Line 4afc
no,test_response,ToM-scene4-q4-false_belief,4,0.5,theory-of-mind-item-bank,,,,4c_new3,ToM-scene4-q4-false_belief,tom_deception_false_belief_3,32,Is Joshua mad at Isabel?,no,,yes,ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,false_belief_question
Dp-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,1.01378503,,Dp-040,Dp-040,,27,Choose the matching picture.,,,"Dp-000-silh,Dn-000-silh",2d-duck,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
behind-flowerbush,test_response,ToM-scene-15-q3-reality_check,15,0.5,CO-theory-of-mind-retest-B,,,,15c,ToM-scene-15-q3-reality_check,tom_interpretation_reality_check_2,,Can you help them find where Johnny really is?,at_block_level,,behind-rock,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reality_check_question
62-green-comb-below-spoon,test_response,trog-item-62,,0.25,trog-item-bank,-1.99807994,,,the comb is below the spoon,trog-item-62,trog_abovebelow_comb_below_spoon,62,Touch the picture that shows...,,,"62-yellow-comb-beside-spoon,62-yellow-comb-above-spoon,62-red-comb-beside-spoon",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,above and below
tf3_24_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_24_M_ss3,tf3_24_M_ss3,matrix_set3_md_mat24,24,Choose the best pattern to fill in the blank.,,,"tf3_24_T2_ss3_md,tf3_24_T4_ss3_md,tf3_24_T3_ss3_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
Rn-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,0.65330968,,Rn-280,Rn-280,,19,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
10,test_response,addition-prompt2,1,0.25,math-corpus-retest,,-1.5,,1+9,math_add_1_9,math_add_1_9,,Add the numbers.,,,"13,11,12",Zehra,math,levante-math-dev,egma-math,5000,,Addition
258,test_response,number-line-prompt1,0,0.25,math-item-bank,,-0.2,,"0,1000",line2num-258-1000,math_line_258_1000,,Choose the number that is marked on the number line.,,,"112,473,413",Siegler,math,levante-math-dev,egma-math,5000,,Number Line 4afc
23,test_response,number-identification-10,0,0.25,math-item-bank,,-2.5,,23,num-ident-23,math_identify_23,9,Choose the number you hear.,,,"32,21,43",EGMA,math,levante-math-dev,egma-math,5000,,Number Identification
tf1_53_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,,,1.692,,tf1_53_M_ss1,tf1_53_M_ss1,,53,Choose the best pattern to fill in the blank.,,,"tf1_53_T2_ss1_md,tf1_53_T4_ss1_md,tf1_53_T3_ss1_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
tf1_51_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,3.636,,tf1_51_M_ss2,tf1_51_M_ss2,matrix_set1_md_mat51,51,Choose the best pattern to fill in the blank.,,,"tf1_51_T2_ss2_md,tf1_51_T4_ss2_md,tf1_51_T3_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
duck,test_response,vocab-item-090,1,0.25,vocab-item-bank,,,,duck,duck,vocab_word_duck,,,,,"tongue,ladder,snake",clip,vocab,levante-vocabulary-dev,vocab,,,practice
22,test_response,number-identification-7,0,0.25,math-corpus-retest,,-2.5,,22,math_identify_22,math_identify_22,6,Choose the 22.,,,"44,52,20",EGMA,math,levante-math-dev,egma-math,5000,,Number Identification
85-gardener-flower-hat-on,test_response,trog-item-85,,0.25,trog-item-bank,-1.280546,,,she is the gardener who wears the hat that has a flower,trog-item-85,trog_depclause_she_gardener_wear_hat_flower,85,Touch the picture that shows...,,,"85-gardener-hat,85-gardener-flower-hat-off,85-gardener-flower-hat-off2",Yeatman,TROG,levante-sentence-understanding-dev,trog,,,dependent clause
,second_response,sds-2match-prompt2,2,0.75,same-different-selection-item-bank,,-0.6553883,,Touch two cards that are the same in a different way.,sds-fist3-9-second,sds_2match_choice2,,,,2,"med-yellow-triangle,sm-red-triangle,sm-blue-square",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,9,2-match
0.87,test_response,number-line-slider-prompt1,2,0.1,math-corpus-retest,,0,,"0,1",math_slider_087_1,math_slider_087_1,,Move the slider to the indicated number.,,,,Zehra,math,levante-math-dev,egma-math,5000,,Number Line Slider
76,test_response,number-line-slider-prompt1,2,0.1,math-corpus-retest,,-0.2,,"0,1000",math_slider_76_1000,math_slider_76_1000,,Move the slider to the indicated number.,,,,Zehra,math,levante-math-dev,egma-math,5000,,Number Line Slider
,instructions,same-different-selection-instruct2,1,,same-different-selection-item-bank,,1,,Now you're going to see two cards that are the same in one way. Then you will see a new card that is similar to one of those cards. Your job is to choose the card that is similar to the new card.,sds-instruct2,,,,,0,,AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,12,instructions
tf1_39_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,,,0.244,,tf1_39_M_ss2,tf1_39_M_ss2,,39,Choose the best pattern to fill in the blank.,,,"tf1_39_T4_ss2_md,tf1_39_T2_ss2_md,tf1_39_T3_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
rice,test_response,vocab-item-051,1,0.25,vocab-item-bank,,,,rice,rice,vocab_word_rice,,,,,"box,dice,bedpost",clip,vocab,levante-vocabulary-dev,vocab,,,test
basketball,test_response,ToM-scene-18-q1-false_belief,18,0.33,theory-of-mind-retest-B,,,,18c,ToM-scene-18-q1-false_belief,tom_second_order_false_belief_1,,Which toy does Kat think George wants from the toy shop?,at_block_level,,crayons,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,false_belief_question
35,test_response,number-identification-26,0,0.25,math-corpus-retest,,-2.5,,35,math_identify_35,math_identify_35,,Choose the 35.,,,"25,40,30",Zehra,math,levante-math-dev,egma-math,5000,,Number Identification
,second_response,sds-2match-prompt2,2,,same-different-selection-item-bank,,-1.4383118,,Touch two pictures that are the same in a different way.,sds-fist4-1-second,sds_3match_choice2,,,,2,"med-blue-circle-gray,med-red-square-2,med-green-triangle-3-striped,med-green-circle-2-black",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,1,3-match
ap10-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,5.08358109,,ap10-240,ap10-240,,86,Choose the matching picture.,,,"an10-000,ap10-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
med-red-circle,test_response,same-different-selection-touch-circle,0,0.25,same-different-selection-item-bank,,-4.9103763,,Choose the card with a circle.,sds-dim-test-circle,sds_dimensions_shape,,,,1,"med-red-triangle,med-red-square,med-red-star",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,1,test-dimensions
spatula,test_response,vocab-item-065,1,0.25,vocab-item-bank,-1.9441,,,spatula,spatula,vocab_word_spatula,,,,,"lava,paddle,pheasant",clip,vocab,levante-vocabulary-dev,vocab,,,test
3,practice_response,number-line-prompt1,0,0.25,math-item-bank,,,,"0,10",line2num-3-10,,,Choose the number that is marked on the number line.,,,"5,6,1",Zach,math,levante-math-dev,egma-math,5000,,Number Line 4afc
ap2-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,6.57519547,,ap2-240,ap2-240,,81,Choose the matching picture.,,,"ap2-000,an2-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
2-bird,test_response,trog-item-2,,0.25,trog-item-bank,,,,bird,trog-item-2,trog_noun_bird,2,Choose the picture of the...,,,"2-chair,2-hat,2-woman",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,noun
tf3_43_T1_ss1_pd,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_43_M_ss1,tf3_43_M_ss1,matrix_set3_pd_mat43,43,Choose the best pattern to fill in the blank.,,,"tf3_43_T2_ss1_md,tf3_43_T4_ss1_md,tf3_43_T3_ss1_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
tf1_32_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,,,0.244,,tf1_32_M_ss1,tf1_32_M_ss1,,32,Choose the best pattern to fill in the blank.,,,"tf1_32_T4_ss1_md,tf1_32_T2_ss1_md,tf1_32_T3_ss1_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
antenna,test_response,vocab-item-003,1,0.25,vocab-item-bank,-1.1464,,,antenna,antenna,vocab_word_antenna,,,,,"pinecone,stem,backgammon",clip,vocab,levante-vocabulary-dev,vocab,,,test
bn15-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,7.853395203,,bn15-240,bn15-240,mrot_3d_shape_120,109,Choose the matching picture.,,,"bn15-000,bp15-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
12,practice_response,number-comparison-prompt1,0,0.5,math-corpus-retest,,-2.5,,"10, 12",math_compare_12_10,,22,Which number is larger?,,,10,EGMA,math,levante-math-dev,egma-math,5000,,Number Comparison
orange-circle,test_response,"matrix-reasoning-prompt1-part1-downex,matrix-reasoning-prompt1-part2-downex",0,0.25,,,,,downex_item_5,downex_item_5,,,Look carefully at this. Which one fits?,,,"green-circle,black-circle,blue-circle",LEVANTE,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
ap6-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,5.498211021,,ap6-280,ap6-280,mrot_3d_shape_080,84,Choose the matching picture.,,,"an6-000,ap6-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
19-girl-not-jumping,test_response,trog-item-19,,0.25,trog-item-bank,-3.190306605,,,the girl is not jumping,trog-item-19,trog_negative_girl_not_jump,19,Touch the picture that shows...,,,"19-cat-sitting,19-girl-jumping,19-horse-standing",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,negative
,instructions,number-line-instruct1,2,,math-item-bank,,,,slider-example,number-line-instruct1,,,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number would fit. Make sure you look at the numbers at each end when deciding where to move the slider.,,,,Amy,math,levante-math-dev,egma-math,5000,,instructions
triad,test_response,vocab-item-165,1,0.25,vocab-item-bank,2.1904,,,triad,triad,vocab_word_triad,,,,,"duo,myriad,quartet",dutch,vocab,levante-vocabulary-dev,vocab,,,test
Dp-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,1.610506496,,Dp-240,Dp-240,mrot_2d_duck_120,36,Choose the matching picture.,,,"Dp-000-silh,Dn-000-silh",2d-duck,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
tf1_10_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,0.507,,tf1_10_M_ss3,tf1_10_M_ss3,matrix_set1_md_mat10,10,Choose the best pattern to fill in the blank.,,,"tf1_10_T3_ss3_md,tf1_10_T2_ss3_md,tf1_10_T4_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
88-play-guitar-dance,test_response,trog-item-88,,0.25,trog-item-bank,-1.281514,,,We will dance together if there is music playing.,trog-item-88,trog_conditional_we_dance_if_music_play,88,Touch the picture that shows...,,,"88-play-guitars-dance,88-carry-guitar-guy-dances,88-carry-guitar-dance",Yeatman,TROG,levante-sentence-understanding-dev,trog,,,conditional
Dp-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,2.503478691,,Dp-200,Dp-200,mrot_2d_duck_160,34,Choose the matching picture.,,,"Dp-000-silh,Dn-000-silh",2d-duck,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
tf1_31_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,0.244,,tf1_31_M_ss3,tf1_31_M_ss3,matrix_set1_md_mat31,31,Choose the best pattern to fill in the blank.,,,"tf1_31_T4_ss3_md,tf1_31_T2_ss3_md,tf1_31_T3_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
,instructions,ToM-scene-16-instruct6,16,,CO-theory-of-mind-retest-B,,,,16g,ToM-scene-16-instruct6,,,"James tells Sophie that he’s very sorry, and Sophie and Dad forgive James. They all hug.",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
1,practice_response,subtraction-prompt1,1,0.25,math-item-bank,,,,2-1,2-1,,,Subtract the numbers and choose the correct answer.,,,"3,5,2",Zach,math,levante-math-dev,egma-math,5000,,Subtraction
,third_response,sds-2match-prompt2,2,,same-different-selection-item-bank,,0.885542,,Touch two pictures that are the same in a different way.,sds-fist4-9-third,sds_3match_choice3,,,,2,"med-red-circle-4-gray,med-green-star,med-blue-star-4-striped,med-yellow-triangle-2-gray",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,9,3-match
Correct,test_response,counting-1,3,,math-item-bank,,5.058593,,7cars,counting-7,math_ns_count_7,,How many cars is this?,,,"Correct,Incorrect",Zach,math,levante-math-dev,egma-math,5000,,Counting
,,,,,,,,,Are you good at reading?,,,33,ReadingGood,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Early Childhood Longitudinal Study,child-survey,,child-survey,,,
4,practice_response,multiplication-prompt1,1,0.25,math-item-bank,,,,2x2,2x2,,,Multiply the numbers and choose the correct answer.,,,"8,6,5",Zach,math,levante-math-dev,egma-math,5000,,Multiplication
,second_response,sds-2match-prompt2,2,,same-different-selection-item-bank,,-1.0786745,,Touch two pictures that are the same in a different way.,sds-fist5-9-second,sds_4match_choice2,,,,2,"med-green-circle-gray,med-blue-star-3,med-yellow-square-4-gray,med-yellow-circle-2-striped,med-red-triangle-3",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,9,4-match
27,test_response,missing-number-prompt2,3,0.25,adult-reasoning-item-bank,1.079,,,"1, 3, 9, _",MD203-I2,ar_reason_1_3_9_x,9,What number goes here?,,,"12,18,13",HRS2010,adult-reasoning,levante-math-dev,adult-reasoning,,,Missing Number
skin,test_response,vocab-item-095,1,0.25,vocab-item-bank,,,,skin,skin,vocab_word_skin,,,,,"cardboard,drum,clock",clip,vocab,levante-vocabulary-dev,vocab,,,practice
49-cup-in-box,test_response,trog-item-49,,0.25,trog-item-bank,-2.643544633,,,the cup is in the box,trog-item-49,trog_inon_cup_in_box,49,Touch the picture that shows...,,,"49-cup-on-box,49-box-in-cup,49-cup-beside-box",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,in and on
tf1_46_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,1.348,,tf1_46_M_ss3,tf1_46_M_ss3,matrix_set1_md_mat46,46,Choose the best pattern to fill in the blank.,,,"tf1_46_T4_ss3_md,tf1_46_T2_ss3_md,tf1_46_T3_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
Rp-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,1.225034777,,Rp-160,Rp-160,mrot_2d_rabbit_160,12,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
,first_response,sds-2match-prompt1,2,,same-different-selection-item-bank,,-3.4771184,,Touch two pictures that are the same.,sds-fist4-4-first,sds_3match_choice1,,,,2,"med-green-square-2-striped,med-red-triangle-2,med-green-star-3-black,med-blue-circle-4",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,4,3-match
angry,test_response,ToM-scene-14-q2-emotion_reasoning,14,0.25,CO-theory-of-mind-retest-B,,,,14f,ToM-scene-14-q2-emotion_reasoning,tom_moral_reasoning_emotion_reasoning_1,,How do you think Anna feels about Bobby reaching for that soccer ball?,yes,,"happy,calm,scared",Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,emotion_reasoning_question
no,test_response,ToM-scene-16-q3-false_belief,16,0.5,CO-theory-of-mind-retest-B,,,,16e,ToM-scene-16-q3-false_belief,tom_deception_false_belief_1,,Is it fair that Dad is mad at Sophie for losing her shoe?,no,,yes,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,false_belief_question
P1n-000-silh,test_response,mental-rotation-prompt1,2,0.5,mental-rotation-item-bank,,3.625,,P1n-200,P1n-200,,,Choose the matching picture.,,,"P1p-000-silh,P1n-000-silh",2d-polygon1,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,
tf1_30_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,,,0.55,,tf1_30_M_ss2,tf1_30_M_ss2,,30,Choose the best pattern to fill in the blank.,,,"tf1_30_T4_ss2_md,tf1_30_T2_ss2_md,tf1_30_T3_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
83,test_response,number-line-prompt1,0,0.25,math-corpus-retest,,-0.5,,"0,100",math_line_83_100,math_line_83_100,,Choose the number that is marked on the number line.,,,"71,97,60",Zehra,math,levante-math-dev,egma-math,5000,,Number Line 4afc
831,test_response,number-line-slider-prompt1,2,0.1,math-item-bank,,-0.2,,"0,1000",slider-831-1000,math_slider_831_1000,,Move the slider to the indicated number.,,,,Siegler,math,levante-math-dev,egma-math,5000,,Number Line Slider
4,test_response,addition-prompt1,3,0.25,math-item-bank,,4.211188,,2+2,2+2,math_add_2_2,,Add the numbers and choose the correct answer.,,,"5,2,0",Zach,math,levante-math-dev,egma-math,5000,,Addition
net,test_response,vocab-item-041,1,0.25,vocab-item-bank,,,,net,net,vocab_word_net,,,,,"domino,tee,hydrant",clip,vocab,levante-vocabulary-dev,vocab,,,test
tf1_54_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,1.692,,tf1_54_M_ss2,tf1_54_M_ss2,matrix_set1_md_mat54,54,Choose the best pattern to fill in the blank.,,,"tf1_54_T4_ss2_md,tf1_54_T2_ss2_md,tf1_54_T3_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
tf1_76_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,,,1.383,,tf1_76_M_ss3,tf1_76_M_ss3,,76,Choose the best pattern to fill in the blank.,,,"tf1_76_T3_ss3_md,tf1_76_T4_ss3_md,tf1_76_T2_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
tf3_39_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_39_M_ss3,tf3_39_M_ss3,matrix_set3_md_mat39,39,Choose the best pattern to fill in the blank.,,,"tf3_39_T2_ss3_md,tf3_39_T4_ss3_md,tf3_39_T3_ss3_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
1,test_response,subtraction-prompt1,1,0.25,math-corpus-retest,,-1.4,,6-5,math_subtract_6_5,math_subtract_6_5,,Subtract the numbers and choose the correct answer.,,,"2,3,5",Zehra,math,levante-math-dev,egma-math,5000,,Subtraction
tf1_27_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,0.55,,tf1_27_M_ss2,tf1_27_M_ss2,matrix_set1_md_mat27,27,Choose the best pattern to fill in the blank.,,,"tf1_27_T2_ss2_md,tf1_27_T4_ss2_md,tf1_27_T3_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
P2p-000-silh,test_response,mental-rotation-prompt1,2,0.5,mental-rotation-item-bank,,4.375,,P2p-120,P2p-120,,,Choose the matching picture.,,,"P2p-000-silh,P2n-000-silh",2d-polygon2,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,
bn14-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,5.380188928,,bn14-320,bn14-320,mrot_3d_shape_040,108,Choose the matching picture.,,,"bp14-000,bn14-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
an17-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,4.213370623,,an17-320,an17-320,mrot_3d_shape_040,92,Choose the matching picture.,,,"an17-000,ap17-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
,,,,,,,,,Are you happy at school?,,,10,SchoolHappy,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Child Interview 5-6,child-survey,,child-survey,,,
22-girl-on-table,test_response,trog-item-22,,0.25,trog-item-bank,-3.312828442,,,the girl is sitting on the table,trog-item-22,trog_3combo_girl_sit_table,22,Touch the picture that shows...,,,"22-cat-on-table,22-girl-at-table,22-girl-squatting",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,three element combination
sad,test_response,ToM-scene-10-q1-emotion_reasoning,10,0.25,theory-of-mind-retest-A,,,,10e,ToM-scene-10-q1-emotion_reasoning,tom_deception_emotion_reasoning_1,,How does Megan feel about being the only child without a storybook?,yes,,"happy,scared,proud",Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,emotion_reasoning_question
46,test_response,number-line-slider-prompt1,2,0.1,math-corpus-retest,,-0.5,,"0,100",math_slider_46_100,math_slider_46_100,,Move the slider to the indicated number.,,,,Zehra,math,levante-math-dev,egma-math,5000,,Number Line Slider
Dn-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,-1.0943556,,Dn-040,Dn-040,,26,Choose the matching picture.,,,"Dp-000-silh,Dn-000-silh",2d-duck,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
