identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,pt-PT
vocab-item-063,"vocab, Vocabulary",the snail,el caracol,die schnecke,,,,,,o caracol
vocab-item-064,"vocab, Vocabulary",the sorbet,el sorbete,das sorbet,,,,,,o sorvete
vocab-item-065,"vocab, Vocabulary",the spatula,la espátula,der Pfannenwender,,,,,,a espátula
vocab-item-066,"vocab, Vocabulary",the sprinkler,el aspersor,der  sprinkler,,,,,,o sprayer
vocab-item-067,"vocab, Vocabulary",the squash,la calabaza,der kürbis,,,,,,a abóbora
vocab-item-068,"vocab, Vocabulary",the squirrel,la ardilla,das eichhörnchen,,,,,,o esquilo
vocab-item-069,"vocab, Vocabulary",the stew,el guiso,der Eintopf,,,,,,o ensopado
vocab-item-070,"vocab, Vocabulary",the rubber band,la banda elástica,das Gummiband,,,,,,o elástico
vocab-item-071,"vocab, Vocabulary",the stump,el tocón,der baumstumpf,,,,,,o toco
vocab-item-072,"vocab, Vocabulary",the sunflower,el girasol,die sonnenblume,,,,,,o girassol
vocab-item-073,"vocab, Vocabulary",the swordfish,el pez espada,der schwertfisch,,,,,,o peixe-espada
vocab-item-074,"vocab, Vocabulary",the tapestry,el tapiz,der wandteppich,,,,,,a tapeçaria
vocab-item-075,"vocab, Vocabulary",the teabag,la bolsa de té,der teebeutel,,,,,,o saquinho de chá
vocab-item-076,"vocab, Vocabulary",the telescope,el telescopio,das teleskop,,,,,,o telescópio
vocab-item-077,"vocab, Vocabulary",the thermos,el termo,die thermoskanne,,,,,,a garrafa térmica
vocab-item-078,"vocab, Vocabulary",the treasure,el tesoro,der schatz,,,,,,o tesouro
vocab-item-079,"vocab, Vocabulary",the trumpet,la trompeta,die trompete,,,,,,a trombeta
vocab-item-080,"vocab, Vocabulary",the tulip,el tulipán,die tulpe,,,,,,a tulipa
vocab-item-081,"vocab, Vocabulary",the turbine,la turbina,die turbine,,,,,,a turbina
vocab-item-082,"vocab, Vocabulary",the turkey,el pavo,der truthahn,,,,,,o peru
vocab-item-083,"vocab, Vocabulary",the turtle,la tortuga,die schildkröte,,,,,,a tartaruga
vocab-item-084,"vocab, Vocabulary",the typewriter,la máquina de escribir,die schreibmaschine,,,,,,a máquina de escrever
vocab-item-085,"vocab, Vocabulary",the watermelon,la sandía,die wassermelone,,,,,,a melancia
vocab-item-086,"vocab, Vocabulary",the waterwheel,la rueda hidráulica,das wasserrad,,,,,,a roda moinho
vocab-item-087,"vocab, Vocabulary",the ant,la hormiga,die ameise,,,,,,a formiga
vocab-item-088,"vocab, Vocabulary",the ball,la pelota,die kugel,,,,,,a bola
vocab-item-089,"vocab, Vocabulary",the bear,el oso,der bär,,,,,,o urso
vocab-item-090,"vocab, Vocabulary",the duck,el pato,die ente,,,,,,o pato
vocab-item-091,"vocab, Vocabulary",the fork,el tenedor,die gabel,,,,,,o garfo
vocab-item-092,"vocab, Vocabulary",the kitten,el gatito,das kätzchen,,,,,,o gatinho
vocab-item-093,"vocab, Vocabulary",the knee,la rodilla,das knie,,,,,,o joelho
vocab-item-094,"vocab, Vocabulary",the milkshake,la malteada,der milchshake,,,,,,o milkshake
vocab-item-095,"vocab, Vocabulary",the skin,la piel,die haut,,,,,,a pele
vocab-item-096,"vocab, Vocabulary",the wall,el muro,die wand,,,,,,a parede
vocab-item-097,"vocab, Vocabulary",the wheel,la rueda,das rad,,,,,,a roda
vocab-item-098,"vocab, Vocabulary",the farm,la granja,der bauernhof,,,,,,a fazenda
vocab-item-099,"vocab, Vocabulary",juggling,el malabarismo,jonglieren,,,,,,malabarismo
vocab-item-100,"vocab, Vocabulary",the dressing,el aderezo,das Dressing,,,,,,o molho
vocab-item-101,"vocab, Vocabulary",the roof,el techo,das dach,,,,,,o telhado
vocab-item-102,"vocab, Vocabulary",peeking,espiando,spähen,,,,,,espreitando
vocab-item-103,"vocab, Vocabulary",the ruler,la regla,das lineal,,,,,,o régua
vocab-item-104,"vocab, Vocabulary",the tunnel,el túnel,der tunnel,,,,,,o túnel
vocab-item-105,"vocab, Vocabulary",the envelope,el sobre,der umschlag,,,,,,o envelope
vocab-item-106,"vocab, Vocabulary",the diamond,el diamante,der diamant,,,,,,o diamante
vocab-item-107,"vocab, Vocabulary",the calendar,el calendario,der kalender,,,,,,o calendário
vocab-item-108,"vocab, Vocabulary",the panda,el panda,der panda,,,,,,o panda
vocab-item-109,"vocab, Vocabulary",the arrow,la flecha,der pfeil,,,,,,a flecha
vocab-item-110,"vocab, Vocabulary",picking,cosecha,pflücken,,,,,,colhendo
vocab-item-111,"vocab, Vocabulary",dripping,goteando,tropfen ,,,,,,gotejando
vocab-item-112,"vocab, Vocabulary",the knight,el caballero,der ritter,,,,,,o cavaleiro
vocab-item-113,"vocab, Vocabulary",delivering,entregando,liefern,,,,,,entregando
vocab-item-114,"vocab, Vocabulary",the dentist,dentista ,der zahnarzt,,,,,,o dentista
vocab-item-115,"vocab, Vocabulary",the claw,la garra,der Klauenhammer,,,,,,a garra
vocab-item-116,"vocab, Vocabulary",the uniform,el uniforme,die uniform,,,,,,o uniforme
vocab-item-117,"vocab, Vocabulary",furry,peludo,pelzig,,,,,,peludo
vocab-item-118,"vocab, Vocabulary",the cormorant,el cormorán,der kormoran,,,,,,o cormorão
vocab-item-119,"vocab, Vocabulary",fetch,traer,bringen,,,,,,trazer
vocab-item-120,"vocab, Vocabulary",the arcade,la arcada,die arkade,,,,,,a galeria de jogos
vocab-item-121,"vocab, Vocabulary",the artifact,el artefacto,das artefakt,,,,,,o artefato
vocab-item-122,"vocab, Vocabulary",aversion,aversión,abneigung,,,,,,aversão
vocab-item-123,"vocab, Vocabulary",the beret,la boina,die baskenmütze,,,,,,a boina
vocab-item-124,"vocab, Vocabulary",applaud,aplaudir,applaudieren,,,,,,aplaudir
vocab-item-125,"vocab, Vocabulary",timid,tímido,schüchtern,,,,,,tímido
vocab-item-126,"vocab, Vocabulary",the camp,el campamento,das lager,,,,,,o acampamento
vocab-item-127,"vocab, Vocabulary",tumble,caída,turnen,,,,,,tombar
vocab-item-128,"vocab, Vocabulary",concentric,concéntrico,konzentrisch,,,,,,concêntrico
vocab-item-129,"vocab, Vocabulary",the confectionery,la confitería,der Süßigkeiten,,,,,,a confeitaria
vocab-item-130,"vocab, Vocabulary",the couturier,el costurero,der Schneider,,,,,,o costureiro
vocab-item-131,"vocab, Vocabulary",degression,disminución,degression,,,,,,degressão
vocab-item-132,"vocab, Vocabulary",the divan,el diván,die Ottomane,,,,,,o divã
vocab-item-133,"vocab, Vocabulary",the wetland,el humedal,das feuchtgebiet,,,,,,a área alagadiça
vocab-item-134,"vocab, Vocabulary",the baywindow,la ventana salediza,das erkerfenster,,,,,,a janela de sacada
vocab-item-135,"vocab, Vocabulary",the aesthete,el esteta,die ästhetik,,,,,,o esteta
vocab-item-136,"vocab, Vocabulary",ecstatic,extático,ekstatisch,,,,,,extasiado
vocab-item-137,"vocab, Vocabulary",rickety,desvencijado,heruntergekommen,,,,,,bambo
vocab-item-138,"vocab, Vocabulary",gourmet,gourmet,feinschmecker,,,,,,gourmet
vocab-item-139,"vocab, Vocabulary",gesticulate,gesticular,gestikulieren,,,,,,gesticular
vocab-item-140,"vocab, Vocabulary",the facade,la fachada,die fassade,,,,,,a fachada
vocab-item-141,"vocab, Vocabulary",the slope,la pendiente,der hang,,,,,,a ladeira
vocab-item-142,"vocab, Vocabulary",the habit,el hábito,Die Gewohnheit,,,,,,o hábito
vocab-item-143,"vocab, Vocabulary",the intersection,la intersección,die kreuzung,,,,,,a interseção
vocab-item-144,"vocab, Vocabulary",the irrigation,la irrigación,die bewässerung,,,,,,a irrigação
vocab-item-145,"vocab, Vocabulary",the kazoo,el kazoo,das kazoo,,,,,,o kazoo
vocab-item-146,"vocab, Vocabulary",chat,conversar,quatschen ,,,,,,bater um papo
vocab-item-147,"vocab, Vocabulary",the colony,la colonia,die kolonie,,,,,,a colônia
vocab-item-148,"vocab, Vocabulary",preserve,conservar,aufbewahren,,,,,,preservar
vocab-item-149,"vocab, Vocabulary",the awning,el toldo,das sonnensegel,,,,,,o toldo
vocab-item-150,"vocab, Vocabulary",mammalogy,mamalogía,säugetierkunde,,,,,,mamalogia
vocab-item-151,"vocab, Vocabulary",the metronome,el metrónomo,das metronom,,,,,,o metrônomo
vocab-item-152,"vocab, Vocabulary",the paleontologist,el paleontólogo,paläontologe,,,,,,o paleontólogo
vocab-item-153,"vocab, Vocabulary",the percussion,la percusión,die perkussion,,,,,,a percussão
vocab-item-154,"vocab, Vocabulary",the posterior,la posterior,hinten,,,,,,o posterior
vocab-item-155,"vocab, Vocabulary",precarious,precario,bedenklich,,,,,,precário
vocab-item-156,"vocab, Vocabulary",the arbor,el quiosco,der Pavillon,,,,,,a pérgula
vocab-item-157,"vocab, Vocabulary",resuscitation,resucitación,die Reanimation,,,,,,ressuscitação
vocab-item-158,"vocab, Vocabulary",the rosette,el rosetón,die rosette,,,,,,a roseta
vocab-item-159,"vocab, Vocabulary",the saffron,el azafrán,der safran,,,,,,o açafrão
vocab-item-160,"vocab, Vocabulary",mischievous,travieso,schelmisch,,,,,,travesso
vocab-item-161,"vocab, Vocabulary",the skimmer,la desnatadora,der abschäumer,,,,,,a espumadeira
vocab-item-162,"vocab, Vocabulary",sedentary,sedentario,sitzend,,,,,,sedentário
vocab-item-163,"vocab, Vocabulary",the suede,la gamuza,das wildleder,,,,,,o camurça
vocab-item-164,"vocab, Vocabulary",the turnstile,el torniquete,das Drehkreuz,,,,,,a catraca
vocab-item-165,"vocab, Vocabulary",the triad,la tríada,die triade,,,,,,a tríade
vocab-item-166,"vocab, Vocabulary",dredging,dragado,baggern,,,,,,dragagem
vocab-item-167,"vocab, Vocabulary",urban,urbano,städtisch,,,,,,urbano
vocab-item-168,"vocab, Vocabulary",the steam,el vapor,der dampf,,,,,,o vapor
vocab-item-169,"vocab, Vocabulary",the vertebra,la vértebra,der wirbel,,,,,,a vértebra
vocab-item-170,"vocab, Vocabulary",the bandage,el vendaje,der verband,,,,,,a bandagem
vocab-instruct-1,"vocab, Vocabulary","In this game, you are going to listen to words and look at different pictures. Your job is to pick the picture that matches the word!","En este juego, escucharás palabras y observarás diferentes imágenes. ¡Tu tarea es elegir la imagen que coincida con la palabra!","In diesem Spiel hörst du Wörter und siehst dir verschiedene Bilder an. Deine Aufgabe ist es, das Bild auszuwählen, das zum Wort passt!",,,,,,"Neste jogo, você vai ouvir palavras e ver diferentes imagens. Sua tarefa é escolher a imagem que corresponde à palavra!"
vocab-practice-1,"vocab, Vocabulary","You are going to see some different pictures. For example, a picture of an apple and a picture of a carrot. Then, you'll hear a word for one of the pictures. Make sure to pick the picture that matches the word!","A continuación, verás algunas imágenes, por ejemplo, una imagen de una manzana y una imagen de una zanahoria. Luego, escucharás la palabra que identifica una de las imágenes. ¡Asegúrate de elegir la imagen que coincida con la palabra!","Du wirst einige verschiedene Bilder sehen. Zum Beispiel ein Bild von einem Apfel und ein Bild von einer Karotte. Dann hörst du ein Wort zu einem der Bilder. Achte darauf, dass du das Bild auswählst, das zum Wort passt!",,,,,,"Você vai ver algumas imagens diferentes. Por exemplo, uma imagem de uma maçã e uma imagem de uma cenoura. Então, você vai ouvir uma palavra para uma das imagens. Certifique-se de escolher a imagem que corresponde à palavra!"
vocab-instruct-2,"vocab, Vocabulary","Some words are hard, and that's okay. If you're not sure, just give your best guess!","Algunas palabras son difíciles, pero no te preocupes, si tienes dudas, ¡haz tu mejor intento!","Manche Wörter sind schwer, und das ist in Ordnung. Wenn du dir nicht sicher bist, gib einfach dein Bestes!",,,,,,"Algumas palavras são difíceis, e tudo bem. Se você não tiver certeza, apenas dê seu melhor palpite!"
vocab-instruct-3,"vocab, Vocabulary","If you need to hear the word again, press the speaker button.","Si necesitas escuchar la palabra otra vez, presiona el botón del altavoz.","Wenn du das Wort noch einmal hören möchtest, drücke die Lautsprechertaste.",,,,,,"Se precisar ouvir a palavra novamente, pressione o botão do alto-falante."
shared-intro-devices,"trog, Sentence Understanding","You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","Puedes tocar una pantalla táctil, usar el panel táctil o pulsar las flechas para esta actividad. Pruébala ahora.","Für diese Aktivität kannst du einen Touchscreen, ein Touchpad oder die Pfeiltasten verwenden. Probier es jetzt aus.",,,,,,"Você pode tocar em um touchscreen, usar o touchpad ou pressionar as teclas de seta para esta atividade. Experimente agora."
shared-choose-picture-press-arrow,"trog, Sentence Understanding","To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","Para usar una tecla de flecha para elegir una imagen, presiona la tecla que apunta en la misma dirección que la flecha debajo de la imagen.","Um eine Bild mit einer Pfeiltaste auszuwählen, drücken Sie die Taste, die in dieselbe Richtung wie der Pfeil unter dem Bild zeigt.",,,,,,"Para usar uma tecla de seta para escolher uma imagem, pressione a tecla que aponta para a mesma direção da seta abaixo da imagem."
shared-intro-replay,"trog, Sentence Understanding",You can press the replay button to hear things again. Try it now.,Puedes presionar el botón de reproducir para escuchar las cosas de nuevo. Inténtalo ahora.,"Sie können die Wiedergabetaste drücken, um die Dinge noch einmal zu hören. Versuchen Sie es jetzt!",,,,,,Você pode pressionar o botão de repetição para ouvir as coisas novamente. Experimente agora.
trog-instr1-matching,"trog, Sentence Understanding","This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","Esta es una actividad de emparejamiento. Escucha lo que digo, luego mira las imágenes con cuidado. Elige la imagen que va con las palabras que escuchas.","Dies ist eine Zuordnungsaufgabe. Hören Sie, was ich sage, und schauen Sie sich die Bilder sorgfältig an. Wählen Sie das Bild, das zu den Worten passt, die Sie hören.",,,,,,"Esta é uma atividade de correspondência. Ouça o que eu digo, depois olhe as imagens com atenção. Escolha a imagem que corresponde às palavras que você ouve."
ChildSurveyIntro,"survey, Thoughts & Feelings","These questions ask you about how you feel at school and some of the things you do at school. There are no right or wrong answers. Choose the answer that best describes what you think. No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time. The first two are for practice.","Estas preguntas se refieren a cómo te sientes en el colegio, y a algunas de las cosas que haces en el colegio. No hay respuestas correctas ni incorrectas. Elige la respuesta que mejor diga lo que tú piensas. No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre. Las primeras dos preguntas son de práctica.","In diesen Fragen geht es darum, wie du dich in der Schule fühlst und was du in der Schule machst. Es gibt keine richtigen oder falschen Antworten. Wähle die Antwort, die am besten beschreibt, was du denkst. Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer. Die ersten beiden Fragen sind zum Üben.",,,,,,"Estas perguntas perguntam como você se sente na escola e algumas das coisas que você faz na escola. Não há respostas certas ou erradas. Escolha a resposta que melhor descreve o que você pensa. Não, nunca; Sim, algumas vezes; Sim, na maioria das vezes; Sim, o tempo todo. As duas primeiras são para prática."
Example1Comic,"survey, Thoughts & Feelings",Do you like to read comic books?,¿Te gusta leer historietas (comics)?,Liest du gerne Comics?,,,,,,Você gosta de ler histórias em quadrinhos?
Example2Neat,"survey, Thoughts & Feelings",Are you neat and tidy at school?,¿Eres limpio y ordenado en el colegio?,Bist du in der Schule ordentlich?,,,,,,Você é organizado e arrumado na escola?
TeacherNice,"survey, Thoughts & Feelings",Is your teacher nice to you?,¿Tu profesor te trata bien?,Ist dein Lehrer nett zu dir?,,,,,,Seu professor é legal com você?
TeacherLike,"survey, Thoughts & Feelings",Does your teacher like you?,¿Le caes bien a tu profesor?,Mag dich dein Lehrer?,,,,,,Seu professor gosta de você?
TeacherListen,"survey, Thoughts & Feelings",Does your teacher listen to you?,¿Tu profesor te escucha?,Hört dein Lehrer dir zu?,,,,,,Seu professor escuta você?
SchoolFun,"survey, Thoughts & Feelings",Is school fun?,"¿Es divertido ir al colegio?
",Macht die Schule Spaß?,,,,,,A escola é divertida?
SchoolEnjoy,"survey, Thoughts & Feelings",Do you enjoy school?,¿Te gusta el colegio?,"Magst du es, in die Schule zu gehen?",,,,,,Você gosta da escola?
SchoolHappy,"survey, Thoughts & Feelings",Are you happy at school?,¿Te sientes feliz en el colegio?,Bist du glücklich in der Schule?,,,,,,Você é feliz na escola?
SchoolSafe,"survey, Thoughts & Feelings",Do you feel safe at school?,¿Te sientes seguro o segura en el colegio?,Fühlst du dich in der Schule sicher?,,,,,,Você se sente seguro na escola?
ClassFriends,"survey, Thoughts & Feelings",Do you have friends in your class?,¿Tienes amigos o amigas en tu salón?,Hast du Freunde in deiner Klasse?,,,,,,Você tem amigos na sua classe?
ClassHelp,"survey, Thoughts & Feelings",Do the kids in your class help you when you need it?,¿Te ayudan los niños y las niñas de tu salón cuando lo necesitas?,"Helfen dir die Kinder in deiner Klasse, wenn du Hilfe brauchst?",,,,,,As crianças da sua classe ajudam você quando você precisa?
ClassPlay,"survey, Thoughts & Feelings",Do the kids in your class play with you?,¿Los niños y las niñas de tu salón juegan contigo?,Spielen die Kinder in deiner Klasse mit dir?,,,,,,As crianças da sua classe brincam com você?
ClassNice,"survey, Thoughts & Feelings",Are the kids in your class nice to you?,¿Los niños y las niñas de tu salón son amables contigo?,Sind die Kinder in deiner Klasse nett zu dir?,,,,,,As crianças da sua classe são gentis com você?
LonelySchool,"survey, Thoughts & Feelings",Do you feel lonely at school?,¿Te sientes solo o sola en el colegio?,Fühlst du dich in der Schule einsam?,,,,,,Você se sente sozinho na escola?
LearningGood,"survey, Thoughts & Feelings",Are you good at learning things in school?,¿Te queda fácil aprender en el colegio?,"Bist du gut darin, in der Schule etwas zu lernen?",,,,,,Você é bom em aprender coisas na escola?
SchoolGiveUp,"survey, Thoughts & Feelings","When schoolwork is hard, do you give up right away?","Cuando las tareas del colegio son difíciles, ¿te rindes en seguida?","Gibst du sofort auf, wenn dir die Schularbeit schwer fällt?",,,,,,"Quando o trabalho escolar é difícil, você desiste imediatamente?"
ReadingEnjoy,"survey, Thoughts & Feelings",Do you enjoy doing reading activities at school?,¿Te gusta hacer actividades de lectura en el colegio?,Macht es dir Spaß in der Schule zu lesen? ,,,,,,Você gosta de fazer atividades de leitura na escola?
MathEnjoy,"survey, Thoughts & Feelings",Do you enjoy doing math activities at school?,¿Te gusta hacer actividades de matemáticas en el colegio?,Hast du Spaß am Fach Mathe?,,,,,,Você gosta de fazer atividades de matemática na escola?
ReadingGood,"survey, Thoughts & Feelings",Are you good at reading?,¿Eres bueno o buena para la lectura?,Bist du gut im Lesen?,,,,,,Você é bom em leitura?
MathGood,"survey, Thoughts & Feelings",Are you good at math?,¿Eres bueno o buena para las matemáticas?,Bist du gut in Mathe?,,,,,,Você é bom em matemática?
GrowthMindSmart,"survey, Thoughts & Feelings",Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,Algunos niños y niñas piensan que pueden ser más inteligentes si se esfuerzan mucho. ¿Crees que tú puedes ser más inteligente si te esfuerzas mucho?,"Manche Kinder glauben, dass sie schlauer werden können, wenn sie sich anstrengen. Bist du auch der Meinung, dass du schlauer werden kannst, wenn du dich anstrengst?",,,,,,Algumas crianças acham que podem ficar mais inteligentes se trabalharem muito. Você acha que pode ficar mais inteligente se trabalhar muito?
GrowthMindRead,"survey, Thoughts & Feelings",Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,Algunos niños y niñas creen que pueden mejorar en lectura si se esfuerzan mucho. ¿Crees que tú puedes mejorar en lectura si te esfuerzas mucho?,"Manche Kinder glauben, dass sie besser lesen können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass du besser lesen kannst, wenn du dich richtig anstrengst?",,,,,,Algumas crianças acham que podem melhorar na leitura se trabalharem muito. Você acha que pode melhorar na leitura se trabalhar muito?
GrowthMindMath,"survey, Thoughts & Feelings",Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,Algunos niños y niñas creen que pueden mejorar en matemáticas si se esfuerzan mucho. ¿Crees que tú puedes mejorar en matemáticas si te esfuerzas mucho?,"Manche Kinder glauben, dass sie in Mathematik besser werden können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass man in Mathe besser wird, wenn man sich richtig anstrengt?",,,,,,Algumas crianças acham que podem melhorar em matemática se trabalharem muito. Você acha que pode melhorar em matemática se trabalhar muito?
ChildSurveyRespoonses,"survey, Thoughts & Feelings","No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time","No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre","Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer",,,,,,"Não, nunca; Sim, algumas vezes; Sim, na maioria das vezes; Sim, sempre"
ToM-scene7-instruct1,"theory-of-mind, Stories","Here is Diana. This morning at school, Diana put her toy in this drawer, because she didn’t want anyone to find it.","Aquí está Diana. Esta mañana en el colegio, Diana ha metido su juguete en este cajón porque no quería que nadie lo encontrara.","Das ist Diana. Als sie heute Morgen in die Schule kam, hat Diana ihr Spielzeug in diese Schublade gelegt, weil sie nicht wollte, dass es jemand findet.",,,,,,"Aqui está Diana. Esta manhã na escola, Diana colocou seu brinquedo nesta gaveta, porque não queria que ninguém o encontrasse."
ToM-scene7-instruct2,"theory-of-mind, Stories","But while Diana was outside, someone did find it! And moved it from inside the drawer, to inside the desk.","Pero mientras Diana estaba fuera, ¡alguien lo encontró! Y lo movió del cajón al escritorio.","Aber während Diana draußen war, hat es jemand gefunden und aus der Schublade in den Schreibtisch gelegt.",,,,,,"Mas enquanto Diana estava lá fora, alguém encontrou! E o moveu de dentro da gaveta para dentro da mesa."
ToM-scene7-instruct3,"theory-of-mind, Stories",So now it’s playtime and Diana wants her toy.,Así que ahora es hora de jugar y Diana quiere su juguete.,Nun haben die Kinder Zeit zum Spielen und Diana möchte ihr Spielzeug holen.,,,,,,Agora é hora de brincar e Diana quer o seu brinquedo.
ToM-scene7-q1-false_belief,"theory-of-mind, Stories",Where will Diana look for her toy?,¿Dónde buscará Diana su juguete?,Wo wird Diana nach ihrem Spielzeug suchen?,,,,,,Onde Diana vai procurar seu brinquedo?
ToM-scene7-q2-reality_check,"theory-of-mind, Stories",And where is her toy really?,¿Y dónde está realmente su juguete?,Und wo ist ihr Spielzeug wirklich?,,,,,,E onde realmente está o brinquedo dela?
desk,"theory-of-mind, Stories",In the desk,En el escritorio,Im Schreibtisch,,,,,,Na mesa
drawer,"theory-of-mind, Stories",In the drawer,En el cajón,In der Schublade,,,,,,Na gaveta
ToM-scene8-instruct1,"theory-of-mind, Stories","This morning when she came to school, Allie put her yellow pencil on this shelf, above the backpack shelf.","Esta mañana, cuando vino a la escuela, Alejandra puso su lápiz de color amarillo en la repisa, sobre el mueble de las maletas.","Heute Morgen, als sie in die Schule kam, legte Linda ihren gelben Bleistift auf das Regal über dem Rucksackregal.",,,,,,"Esta manhã, quando chegou à escola, Allie colocou seu lápis amarelo nesta prateleira, acima da prateleira da mochila."
ToM-scene8-instruct2,"theory-of-mind, Stories","And then she went outside to play, see? Here’s Allie playing outside. And while she was outside playing, Allie’s yellow pencil fell down from on top of the shelf to behind the backpack shelf, see?","Y luego salió a jugar, ¿ves? Aquí está Alejandra jugando afuera. Y mientras estaba afuera jugando, el lápiz de color amarillo de Alejandra se cayó de la repisa y quedó detrás del mueble de las maletas, ¿ves?","Und dann ist sie zum spielen nach draußen gegangen, siehst du? Und während sie draußen spielte, fiel Lindas gelber Bleistift von oben runter und hinter das Rucksackregal, siehst du?",,,,,,"E então ela saiu para brincar, veja? Aqui está Allie brincando lá fora. E enquanto ela estava brincando lá fora, o lápis amarelo de Allie caiu de cima da prateleira para trás da prateleira da mochila, veja?"
ToM-scene8-instruct3,"theory-of-mind, Stories","Then Mike comes in, and Mike puts his pencil above the backpack shelf. Mike’s pencil is also yellow! But Allie is still outside playing, so she didn’t see what Mike was doing.","Entonces entra Miguel y Miguel pone su lápiz encima del mueble de las maletas. El lápiz de Miguel también es de color amarillo. Pero Alejandra todavía está fuera jugando, así que no vio lo que Miguel estaba haciendo.","Dann kommt Tim herein, und Tim legt seinen Bleistift auf das Regal über dem Rucksackregal. Tims Bleistift ist auch gelb! Aber Linda ist noch draußen und spielt, deshalb hat sie nicht gesehen, was Tim gemacht hat.",,,,,,"Então Mike entra, e Mike coloca seu lápis acima da prateleira da mochila. O lápis de Mike também é amarelo! Mas Allie ainda está do lado de fora brincando, então ela não viu o que Mike estava fazendo."
ToM-scene8-q1-false_belief,"theory-of-mind, Stories","Now, when Allie comes in from outside, where will she look first for her pencil?","Ahora, cuando Alejandra vuelva de fuera, ¿dónde buscará primero su lápiz?","Wenn Linda jetzt von draußen reinkommt, wo wird sie zuerst nach ihrem Bleistift suchen?",,,,,,"Agora, quando Allie entrar, onde procurará primeiro o lápis?"
top,"theory-of-mind, Stories",On top of the shelf above the backpack shelf,En la repisa sobre el mueble de las maletas,Oben auf dem Regal über dem Rucksackregal.,,,,,,No topo da prateleira acima da prateleira da mochila
behind,"theory-of-mind, Stories",Behind the backpack shelf,Detrás del mueble de las maletas,Hinter dem Rucksackregal,,,,,,Atrás da prateleira da mochila
ToM-scene-8-instruct4,"theory-of-mind, Stories","Let’s see what she does. Oh look, here is Allie reaching for this pencil up on top of the shelf. And now Mike sees Allie reaching for that pencil... the pencil that is Mike's!","Veamos lo que hace. Oh, mira, aquí está Alejandra cogiendo este lápiz de encima del mueble. Y ahora Miguel ve a Alejandra cogiendo ese lápiz... ¡el lápiz que es de Miguel!","Schauen wir mal, was sie macht. Oh, sieh mal, hier greift Linda nach dem Bleistift oben auf dem Regal. Und jetzt sieht Tim, wie Linda nach dem Bleistift greift... dem Bleistift, der Tim gehört!",,,,,,"Vamos ver o que ela faz. Oh, veja, aqui está Allie alcançando este lápis no topo da prateleira. E agora Mike vê Allie alcançando esse lápis... o lápis que é de Mike!"
ToM-scene-8-q2-emotion_reasoning,"theory-of-mind, Stories",How do you think Mike feels about Allie reaching for that pencil?,¿Cómo crees que se siente Miguel cuando Alejandra intenta coger ese lápiz?,"Was glaubst du, wie Tim sich fühlt, wenn Linda nach dem Bleistift greift?",,,,,,O que você acha que Mike sente ao ver Allie pegando aquele lápis?
ToM-scene-8-q3-emotion_reasoning,"theory-of-mind, Stories",How do you think Mike would feel if he had not seen Allie reaching for the pencil?,¿Cómo crees que se sentiría Miguel si no hubiera visto a Alejandra intentar coger el lápiz?,"Wie würde sich Tim wohl fühlen, wenn er nicht gesehen hätte, wie Linda nach dem Bleistift greift?",,,,,,Como você acha que Mike se sentiria se não tivesse visto Allie pegando o lápis?
ToM-scene-8-q4-false_belief,"theory-of-mind, Stories",Is Allie being mean and naughty for taking Mike’s pencil?,¿Alejandra está siendo mala y traviesa por coger el lápiz de Miguel?,"Ist es gemein und frech von Linda, dass sie Tims Bleistift genommen hat?",,,,,,Allie está sendo má e malcriada por pegar o lápis de Mike?
ToM-scene-8-q5-false_belief,"theory-of-mind, Stories",Should Allie get in trouble with the teacher for taking Mike’s pencil?,¿Debería Alejandra meterse en problemas con el profesor por coger el lápiz de Miguel?,"Sollte Linda Ärger mit der Lehrerin bekommen, weil sie Tims Bleistift genommen hat?",,,,,,Allie deveria ter problemas com o professor por pegar o lápis de Mike?
ToM-scene-8-q6-reality_check,"theory-of-mind, Stories",Can you help Mike find his pencil? Is it on top of the shelf or behind the backpack shelf?,¿Puedes ayudarle a Miguel a encontrar su lápiz? ¿Está encima de la repisa o detrás del mueble de maletas?,"Kannst du Tim helfen, seinen Bleistift zu finden? Liegt er oben auf dem Regal oder hinter dem Rucksackregal?",,,,,,Você pode ajudar Mike a encontrar seu lápis? Está em cima da prateleira ou atrás da prateleira de mochilas?
