identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,isHidden
vocab-item-086,"vocab, Vocabulary",the waterwheel,la rueda hidráulica,das wasserrad,the waterwheel,the waterwheel,das wasserrad,the waterwheel,the waterwheel,
vocab-item-087,"vocab, Vocabulary",the ant,la hormiga,die ameise,the ant,the ant,die ameise,the ant,the ant,
vocab-item-088,"vocab, Vocabulary",the ball,la pelota,der kugel,the ball,the ball,der kugel,the ball,the ball,
vocab-item-089,"vocab, Vocabulary",the bear,el oso,der bär,the bear,the bear,der bär,the bear,the bear,
vocab-item-090,"vocab, Vocabulary",the duck,el pato,die ente,the duck,the duck,die ente,the duck,the duck,
vocab-item-091,"vocab, Vocabulary",the fork,el tenedor,die gabel,the fork,the fork,die gabel,the fork,the fork,
vocab-item-092,"vocab, Vocabulary",the kitten,el gatito,das kätzchen,the kitten,the kitten,das kätzchen,the kitten,the kitten,
vocab-item-093,"vocab, Vocabulary",the knee,la rodilla,das knie,the knee,the knee,das knie,the knee,the knee,
vocab-item-094,"vocab, Vocabulary",the milkshake,la malteada,der milchshake,the milkshake,the milkshake,der milchshake,the milkshake,the milkshake,
vocab-item-095,"vocab, Vocabulary",the skin,la piel,der haut,the skin,the skin,der haut,the skin,the skin,
vocab-item-096,"vocab, Vocabulary",the wall,el muro,die wand,the wall,the wall,die wand,the wall,the wall,
vocab-item-097,"vocab, Vocabulary",the wheel,la rueda,das rad,the wheel,the wheel,das rad,the wheel,the wheel,
vocab-item-098,"vocab, Vocabulary",the farm,la granja,der bauernhof,the farm,the farm,der bauernhof,the farm,the farm,
vocab-item-099,"vocab, Vocabulary",juggling,el malabarismo,der jonglieren,juggling,juggling,der jonglieren,juggling,juggling,
vocab-item-100,"vocab, Vocabulary",the dressing,el aderezo,der Dressing,the dressing,the dressing,der Dressing,the dressing,the dressing,
vocab-item-101,"vocab, Vocabulary",the roof,el techo,das dach,the roof,the roof,das dach,the roof,the roof,
vocab-item-102,"vocab, Vocabulary",peeking,espiando,spähen,peeking,peeking,spähen,peeking,peeking,
vocab-item-103,"vocab, Vocabulary",the ruler,la regla,das lineal,the ruler,the ruler,das lineal,the ruler,the ruler,
vocab-item-104,"vocab, Vocabulary",the tunnel,el túnel,der tunnel,the tunnel,the tunnel,der tunnel,the tunnel,the tunnel,
vocab-item-105,"vocab, Vocabulary",the envelope,el sobre,der umschlag,the envelope,the envelope,der umschlag,the envelope,the envelope,
vocab-item-106,"vocab, Vocabulary",the diamond,el diamante,der diamant,the diamond,the diamond,der diamant,the diamond,the diamond,
vocab-item-107,"vocab, Vocabulary",the calendar,el calendario,der kalender,the calendar,the calendar,der kalender,the calendar,the calendar,
vocab-item-108,"vocab, Vocabulary",the panda,el panda,der panda,the panda,the panda,der panda,the panda,the panda,
vocab-item-109,"vocab, Vocabulary",the arrow,la flecha,der pfeil,the arrow,the arrow,der pfeil,the arrow,the arrow,
vocab-item-110,"vocab, Vocabulary",picking,cosecha,pflücken,picking,picking,pflücken,picking,picking,
vocab-item-111,"vocab, Vocabulary",dripping,goteando,tropfen ,dripping,dripping,tropfen ,dripping,dripping,
vocab-item-112,"vocab, Vocabulary",the knight,el caballero,der ritter,the knight,the knight,der ritter,the knight,the knight,
vocab-item-113,"vocab, Vocabulary",delivering,entregando,liefern,delivering,delivering,liefern,delivering,delivering,
vocab-item-114,"vocab, Vocabulary",the dentist,la dentista,der zahnarzt,the dentist,the dentist,der zahnarzt,the dentist,the dentist,
vocab-item-115,"vocab, Vocabulary",the claw,la garra,der Klauenhammer,the claw,the claw,der Klauenhammer,the claw,the claw,
vocab-item-116,"vocab, Vocabulary",the uniform,el uniforme,die uniform,the uniform,the uniform,die uniform,the uniform,the uniform,
vocab-item-117,"vocab, Vocabulary",furry,peludo,pelzig,furry,furry,pelzig,furry,furry,
vocab-item-118,"vocab, Vocabulary",the cormorant,el cormorán,der kormoran,the cormorant,the cormorant,der kormoran,the cormorant,the cormorant,
vocab-item-119,"vocab, Vocabulary",fetch,traer,bringen,fetch,fetch,bringen,fetch,fetch,
vocab-item-120,"vocab, Vocabulary",the arcade,la arcada,die arkade,the arcade,the arcade,die arkade,the arcade,the arcade,
vocab-item-121,"vocab, Vocabulary",the artifact,el artefacto,das artefakt,the artifact,the artifact,das artefakt,the artifact,the artifact,
vocab-item-122,"vocab, Vocabulary",aversion,aversión,abneigung,aversion,aversion,abneigung,aversion,aversion,
vocab-item-123,"vocab, Vocabulary",the beret,la boina,die baskenmütze,the beret,the beret,die baskenmütze,the beret,the beret,
vocab-item-124,"vocab, Vocabulary",applaud,aplaudir,applaudieren,applaud,applaud,applaudieren,applaud,applaud,
vocab-item-125,"vocab, Vocabulary",timid,tímido,schüchtern,timid,timid,schüchtern,timid,timid,
vocab-item-126,"vocab, Vocabulary",the camp,el campamento,das lager,the camp,the camp,das lager,the camp,the camp,
vocab-item-127,"vocab, Vocabulary",tumble,caída,turnen,tumble,tumble,turnen,tumble,tumble,
vocab-item-128,"vocab, Vocabulary",concentric,concéntrico,konzentrisch,concentric,concentric,konzentrisch,concentric,concentric,
vocab-item-129,"vocab, Vocabulary",the confectionery,la confitería,der Süßigkeiten,the confectionery,the confectionery,der Süßigkeiten,the confectionery,the confectionery,
vocab-item-130,"vocab, Vocabulary",the couturier,el costurero,der Schneider,the couturier,the couturier,der Schneider,the couturier,the couturier,
vocab-item-131,"vocab, Vocabulary",degression,disminución,degression,degression,degression,degression,degression,degression,
vocab-item-132,"vocab, Vocabulary",the divan,el diván,die Ottomane,the divan,the divan,die Ottomane,the divan,the divan,
vocab-item-133,"vocab, Vocabulary",the wetland,el humedal,das feuchtgebiet,the wetland,the wetland,das feuchtgebiet,the wetland,the wetland,
vocab-item-134,"vocab, Vocabulary",the baywindow,la ventana salediza,das erkerfenster,the baywindow,the baywindow,das erkerfenster,the baywindow,the baywindow,
vocab-item-135,"vocab, Vocabulary",the aesthete,el esteta,der ästhetik,the aesthete,the aesthete,der ästhetik,the aesthete,the aesthete,
vocab-item-136,"vocab, Vocabulary",ecstatic,extático,ekstatisch,ecstatic,ecstatic,ekstatisch,ecstatic,ecstatic,
vocab-item-137,"vocab, Vocabulary",rickety,desvencijado,heruntergekommen,rickety,rickety,heruntergekommen,rickety,rickety,
vocab-item-138,"vocab, Vocabulary",gourmet,gourmet,feinschmecker,gourmet,gourmet,feinschmecker,gourmet,gourmet,
vocab-item-139,"vocab, Vocabulary",gesticulate,gesticular,gestikulieren,gesticulate,gesticulate,gestikulieren,gesticulate,gesticulate,
vocab-item-140,"vocab, Vocabulary",the facade,la fachada,die fassade,the facade,the facade,die fassade,the facade,the facade,
vocab-item-141,"vocab, Vocabulary",the slope,la pendiente,der hang,the slope,the slope,der hang,the slope,the slope,
vocab-item-142,"vocab, Vocabulary",the habit,el hábito,die Angewohnheit,the habit,the habit,die Angewohnheit,the habit,the habit,
vocab-item-143,"vocab, Vocabulary",the intersection,la intersección,die kreuzung,the intersection,the intersection,die kreuzung,the intersection,the intersection,
vocab-item-144,"vocab, Vocabulary",the irrigation,la irrigación,die bewässerung,the irrigation,the irrigation,die bewässerung,the irrigation,the irrigation,
vocab-item-145,"vocab, Vocabulary",the kazoo,el kazoo,der kazoo,the kazoo,the kazoo,der kazoo,the kazoo,the kazoo,
vocab-item-146,"vocab, Vocabulary",chat,conversar,quatschen ,chat,chat,quatschen ,chat,chat,
vocab-item-147,"vocab, Vocabulary",the colony,la colonia,die kolonie,the colony,the colony,die kolonie,the colony,the colony,
vocab-item-148,"vocab, Vocabulary",preserve,conservar,aufbewahren,preserve,preserve,aufbewahren,preserve,preserve,
vocab-item-149,"vocab, Vocabulary",the awning,el toldo,der sonnensegel,the awning,the awning,der sonnensegel,the awning,the awning,
vocab-item-150,"vocab, Vocabulary",mammalogy,mamalogía,säugetierkunde,mammalogy,mammalogy,säugetierkunde,mammalogy,mammalogy,
vocab-item-151,"vocab, Vocabulary",the metronome,el metrónomo,das metronom,the metronome,the metronome,das metronom,the metronome,the metronome,
vocab-item-152,"vocab, Vocabulary",the paleontologist,el paleontólogo,der paläontologe,the paleontologist,the paleontologist,der paläontologe,the paleontologist,the paleontologist,
vocab-item-153,"vocab, Vocabulary",the percussion,la percusión,die perkussion,the percussion,the percussion,die perkussion,the percussion,the percussion,
vocab-item-154,"vocab, Vocabulary",the posterior,la posterior,der hinten,the posterior,the posterior,der hinten,the posterior,the posterior,
vocab-item-155,"vocab, Vocabulary",precarious,precario,prekär,precarious,precarious,prekär,precarious,precarious,
vocab-item-156,"vocab, Vocabulary",the arbor,el quiosco,der Pavillon,the arbor,the arbor,der Pavillon,the arbor,the arbor,
vocab-item-157,"vocab, Vocabulary",resuscitation,resucitación,wiederbelebung,resuscitation,resuscitation,wiederbelebung,resuscitation,resuscitation,
vocab-item-158,"vocab, Vocabulary",the rosette,el rosetón,die rosette,the rosette,the rosette,die rosette,the rosette,the rosette,
vocab-item-159,"vocab, Vocabulary",the saffron,el azafrán,der safran,the saffron,the saffron,der safran,the saffron,the saffron,
vocab-item-160,"vocab, Vocabulary",mischievous,travieso,schelmisch,mischievous,mischievous,schelmisch,mischievous,mischievous,
vocab-item-161,"vocab, Vocabulary",the skimmer,la desnatadora,der abschäumer,the skimmer,the skimmer,der abschäumer,the skimmer,the skimmer,
vocab-item-162,"vocab, Vocabulary",sedentary,sedentario,sitzend,sedentary,sedentary,sitzend,sedentary,sedentary,
vocab-item-163,"vocab, Vocabulary",the suede,la gamuza,das wildleder,the suede,the suede,das wildleder,the suede,the suede,
vocab-item-164,"vocab, Vocabulary",the turnstile,el torniquete,das Drehkreuz,the turnstile,the turnstile,das Drehkreuz,the turnstile,the turnstile,
vocab-item-165,"vocab, Vocabulary",the triad,la tríada,die triade,the triad,the triad,die triade,the triad,the triad,
vocab-item-166,"vocab, Vocabulary",dredging,dragado,baggern,dredging,dredging,baggern,dredging,dredging,
vocab-item-167,"vocab, Vocabulary",urban,urbano,städtisch,urban,urban,städtisch,urban,urban,
vocab-item-168,"vocab, Vocabulary",the steam,el vapor,der dampf,the steam,the steam,der dampf,the steam,the steam,
vocab-item-169,"vocab, Vocabulary",the vertebra,la vértebra,der wirbel,the vertebra,the vertebra,der wirbel,the vertebra,the vertebra,
vocab-item-170,"vocab, Vocabulary",the bandage,el vendaje,der verband,the bandage,the bandage,der verband,the bandage,the bandage,
vocab-instruct-1,"vocab, Vocabulary","In this game, you are going to listen to words and look at different pictures. Your job is to pick the picture that matches the word!","En este juego, escucharás palabras y observarás diferentes imágenes. ¡Tu tarea es elegir la imagen que coincida con la palabra!","In diesem Spiel hörst du Wörter und siehst dir verschiedene Bilder an. Deine Aufgabe ist es, das Bild auszuwählen, das zum Wort passt!","In this game, you are going to listen to words and look at different pictures. Your job is to pick the picture that matches the word!","In this game, you are going to listen to words and look at different pictures. Your job is to pick the picture that matches the word!","In diesem Spiel hörst du Wörter und siehst dir verschiedene Bilder an. Deine Aufgabe ist es, das Bild auszuwählen, das zum Wort passt!","In this game, you are going to listen to words and look at different pictures. Your job is to pick the picture that matches the word!","In this game, you are going to listen to words and look at different pictures. Your job is to pick the picture that matches the word!",
vocab-practice-1,"vocab, Vocabulary","You are going to see some different pictures. For example, a picture of an apple and a picture of a carrot. Then, you'll hear a word for one of the pictures. Make sure to pick the picture that matches the word!","A continuación, verás algunas imágenes, por ejemplo, una imagen de una manzana y una imagen de una zanahoria. Luego, escucharás la palabra que identifica una de las imágenes. ¡Asegúrate de elegir la imagen que coincida con la palabra!","Du wirst einige verschiedene Bilder sehen. Zum Beispiel ein Bild von einem Apfel und ein Bild von einer Karotte. Dann hörst du ein Wort zu einem der Bilder. Achte darauf, dass du das Bild auswählst, das zum Wort passt!","You are going to see some different pictures. For example, a picture of an apple and a picture of a carrot. Then, you'll hear a word for one of the pictures. Make sure to pick the picture that matches the word!","You are going to see some different pictures. For example, a picture of an apple and a picture of a carrot. Then, you'll hear a word for one of the pictures. Make sure to pick the picture that matches the word!","Du wirst einige verschiedene Bilder sehen. Zum Beispiel ein Bild von einem Apfel und ein Bild von einer Karotte. Dann hörst du ein Wort zu einem der Bilder. Achte darauf, dass du das Bild auswählst, das zum Wort passt!","You are going to see some different pictures. For example, a picture of an apple and a picture of a carrot. Then, you'll hear a word for one of the pictures. Make sure to pick the picture that matches the word!","You are going to see some different pictures. For example, a picture of an apple and a picture of a carrot. Then, you'll hear a word for one of the pictures. Make sure to pick the picture that matches the word!",
vocab-instruct-2,"vocab, Vocabulary","Some words are hard, and that's okay. If you're not sure, just give your best guess!","Algunas palabras son difíciles, pero no te preocupes, si tienes dudas, ¡haz tu mejor intento!","Manche Wörter sind schwer, und das ist in Ordnung. Wenn du dir nicht sicher bist, gib einfach dein Bestes!","Some words are hard, and that's okay. If you're not sure, just give your best guess!","Some words are hard, and that's okay. If you're not sure, just give your best guess!","Manche Wörter sind schwer, und das ist in Ordnung. Wenn du dir nicht sicher bist, gib einfach dein Bestes!","Some words are hard, and that's okay. If you're not sure, just give your best guess!","Some words are hard, and that's okay. If you're not sure, just give your best guess!",
vocab-instruct-3,"vocab, Vocabulary","If you need to hear the word again, press the speaker button.","Si necesitas escuchar la palabra otra vez, presiona el botón del altavoz.","Wenn du das Wort noch einmal hören möchtest, drücke die Lautsprechertaste.","If you need to hear the word again, press the speaker button.","If you need to hear the word again, press the speaker button.","Wenn du das Wort noch einmal hören möchtest, drücke die Lautsprechertaste.","If you need to hear the word again, press the speaker button.","If you need to hear the word again, press the speaker button.",
shared-intro-devices,"trog, Sentence Understanding","You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","Puedes tocar una pantalla táctil, usar el panel táctil o pulsar las flechas para esta actividad. Pruébala ahora.","Für diese Aktivität kannst du einen Touchscreen, ein Touchpad oder die Pfeiltasten verwenden. Probier es jetzt aus.","You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","Für diese Aktivität kannst du einen Touchscreen, ein Touchpad oder die Pfeiltasten verwenden. Probier es jetzt aus.","You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.",
shared-choose-picture-press-arrow,"trog, Sentence Understanding","To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","Para usar una tecla de flecha para elegir una imagen, presiona la tecla que apunta en la misma dirección que la flecha debajo de la imagen.","Um eine Bild mit einer Pfeiltaste auszuwählen, drücken Sie die Taste, die in dieselbe Richtung wie der Pfeil unter dem Bild zeigt.","To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","Um eine Bild mit einer Pfeiltaste auszuwählen, drücken Sie die Taste, die in dieselbe Richtung wie der Pfeil unter dem Bild zeigt.","To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.",
shared-intro-replay,"trog, Sentence Understanding",You can press the replay button to hear things again. Try it now.,Puedes presionar el botón de reproducir para escuchar las cosas de nuevo. Inténtalo ahora.,"Sie können die Wiedergabetaste drücken, um die Dinge noch einmal zu hören. Versuchen Sie es jetzt!",You can press the replay button to hear things again. Try it now.,You can press the replay button to hear things again. Try it now.,"Sie können die Wiedergabetaste drücken, um die Dinge noch einmal zu hören. Versuchen Sie es jetzt!",You can press the replay button to hear things again. Try it now.,You can press the replay button to hear things again. Try it now.,
trog-instr1-matching,"trog, Sentence Understanding","This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","Esta es una actividad de emparejamiento. Escucha lo que digo, luego mira las imágenes con cuidado. Elige la imagen que va con las palabras que escuchas.","Dies ist eine Zuordnungsaufgabe. Hören Sie, was ich sage, und schauen Sie sich die Bilder sorgfältig an. Wählen Sie das Bild, das zu den Worten passt, die Sie hören.","This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","Dies ist eine Zuordnungsaufgabe. Hören Sie, was ich sage, und schauen Sie sich die Bilder sorgfältig an. Wählen Sie das Bild, das zu den Worten passt, die Sie hören.","This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.",
ChildSurveyIntro,"survey, Thoughts & Feelings","These questions ask you about how you feel at school and some of the things you do at school. There are no right or wrong answers. Choose the answer that best describes what you think. No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time. The first two are for practice.","Estas preguntas se refieren a cómo te sientes en el colegio, y a algunas de las cosas que haces en el colegio. No hay respuestas correctas ni incorrectas. Elige la respuesta que mejor diga lo que tú piensas. No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre. Las primeras dos preguntas son de práctica.","In diesen Fragen geht es darum, wie du dich in der Schule fühlst und was du in der Schule machst. Es gibt keine richtigen oder falschen Antworten. Wähle die Antwort, die am besten beschreibt, was du denkst. Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer. Die ersten beiden Fragen sind zum Üben.","These questions ask you about how you feel at school and some of the things you do at school. There are no right or wrong answers. Choose the answer that best describes what you think. No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time. The first two are for practice.","These questions ask you about how you feel at school and some of the things you do at school. There are no right or wrong answers. Choose the answer that best describes what you think. No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time. The first two are for practice.","In diesen Fragen geht es darum, wie du dich in der Schule fühlst und was du in der Schule machst. Es gibt keine richtigen oder falschen Antworten. Wähle die Antwort, die am besten beschreibt, was du denkst. Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer. Die ersten beiden Fragen sind zum Üben.","These questions ask you about how you feel at school and some of the things you do at school. There are no right or wrong answers. Choose the answer that best describes what you think. No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time. The first two are for practice.","These questions ask you about how you feel at school and some of the things you do at school. There are no right or wrong answers. Choose the answer that best describes what you think. No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time. The first two are for practice.",
Example1Comic,"survey, Thoughts & Feelings",Do you like to read comic books?,¿Te gusta leer historietas (comics)?,Liest du gerne Comics?,Do you like to read comic books?,Do you like to read comic books?,Liest du gerne Comics?,Do you like to read comic books?,Do you like to read comic books?,
Example2Neat,"survey, Thoughts & Feelings",Are you neat and tidy at school?,¿Eres limpio y ordenado en el colegio?,Bist du in der Schule ordentlich?,Are you neat and tidy at school?,Are you neat and tidy at school?,Bist du in der Schule ordentlich?,Are you neat and tidy at school?,Are you neat and tidy at school?,
TeacherNice,"survey, Thoughts & Feelings",Is your teacher nice to you?,¿Tu profesor te trata bien?,Ist dein Lehrer nett zu dir?,Is your teacher nice to you?,Is your teacher nice to you?,Ist dein Lehrer nett zu dir?,Is your teacher nice to you?,Is your teacher nice to you?,
TeacherLike,"survey, Thoughts & Feelings",Does your teacher like you?,¿Le caes bien a tu profesor?,Mag dich dein Lehrer?,Does your teacher like you?,Does your teacher like you?,Mag dich dein Lehrer?,Does your teacher like you?,Does your teacher like you?,
TeacherListen,"survey, Thoughts & Feelings",Does your teacher listen to you?,¿Tu profesor te escucha?,Hört dein Lehrer dir zu?,Does your teacher listen to you?,Does your teacher listen to you?,Hört dein Lehrer dir zu?,Does your teacher listen to you?,Does your teacher listen to you?,
SchoolFun,"survey, Thoughts & Feelings",Is school fun?,¿Es divertido ir al colegio?,Macht die Schule Spaß?,Is school fun?,Is school fun?,Macht die Schule Spaß?,Is school fun?,Is school fun?,
SchoolEnjoy,"survey, Thoughts & Feelings",Do you enjoy school?,¿Te gusta el colegio?,"Magst du es, in die Schule zu gehen?",Do you enjoy school?,Do you enjoy school?,"Magst du es, in die Schule zu gehen?",Do you enjoy school?,Do you enjoy school?,
SchoolHappy,"survey, Thoughts & Feelings",Are you happy at school?,¿Te sientes feliz en el colegio?,Bist du glücklich in der Schule?,Are you happy at school?,Are you happy at school?,Bist du glücklich in der Schule?,Are you happy at school?,Are you happy at school?,
SchoolSafe,"survey, Thoughts & Feelings",Do you feel safe at school?,¿Te sientes seguro o segura en el colegio?,Fühlst du dich in der Schule sicher?,Do you feel safe at school?,Do you feel safe at school?,Fühlst du dich in der Schule sicher?,Do you feel safe at school?,Do you feel safe at school?,
ClassFriends,"survey, Thoughts & Feelings",Do you have friends in your class?,¿Tienes amigos o amigas en tu salón?,Hast du Freunde in deiner Klasse?,Do you have friends in your class?,Do you have friends in your class?,Hast du Freunde in deiner Klasse?,Do you have friends in your class?,Do you have friends in your class?,
ClassHelp,"survey, Thoughts & Feelings",Do the kids in your class help you when you need it?,¿Te ayudan los niños y las niñas de tu salón cuando lo necesitas?,"Helfen dir die Kinder in deiner Klasse, wenn du Hilfe brauchst?",Do the kids in your class help you when you need it?,Do the kids in your class help you when you need it?,"Helfen dir die Kinder in deiner Klasse, wenn du Hilfe brauchst?",Do the kids in your class help you when you need it?,Do the kids in your class help you when you need it?,
ClassPlay,"survey, Thoughts & Feelings",Do the kids in your class play with you?,¿Los niños y las niñas de tu salón juegan contigo?,Spielen die Kinder in deiner Klasse mit dir?,Do the kids in your class play with you?,Do the kids in your class play with you?,Spielen die Kinder in deiner Klasse mit dir?,Do the kids in your class play with you?,Do the kids in your class play with you?,
ClassNice,"survey, Thoughts & Feelings",Are the kids in your class nice to you?,¿Los niños y las niñas de tu salón son amables contigo?,Sind die Kinder in deiner Klasse nett zu dir?,Are the kids in your class nice to you?,Are the kids in your class nice to you?,Sind die Kinder in deiner Klasse nett zu dir?,Are the kids in your class nice to you?,Are the kids in your class nice to you?,
LonelySchool,"survey, Thoughts & Feelings",Do you feel lonely at school?,¿Te sientes solo o sola en el colegio?,Fühlst du dich in der Schule einsam?,Do you feel lonely at school?,Do you feel lonely at school?,Fühlst du dich in der Schule einsam?,Do you feel lonely at school?,Do you feel lonely at school?,
LearningGood,"survey, Thoughts & Feelings",Are you good at learning things in school?,¿Te queda fácil aprender en el colegio?,"Bist du gut darin, in der Schule etwas zu lernen?",Are you good at learning things in school?,Are you good at learning things in school?,"Bist du gut darin, in der Schule etwas zu lernen?",Are you good at learning things in school?,Are you good at learning things in school?,
SchoolGiveUp,"survey, Thoughts & Feelings","When schoolwork is hard, do you give up right away?","Cuando las tareas escolares son difíciles, ¿te rindes enseguida?","Gibst du sofort auf, wenn dir die Schularbeit schwer fällt?","When schoolwork is hard, do you give up right away?","When schoolwork is hard, do you give up right away?","Gibst du sofort auf, wenn dir die Schularbeit schwer fällt?","When schoolwork is hard, do you give up right away?","When schoolwork is hard, do you give up right away?",
ReadingEnjoy,"survey, Thoughts & Feelings",Do you enjoy doing reading activities at school?,¿Te gusta hacer actividades de lectura en el colegio?,Macht es dir Spaß in der Schule zu lesen? ,Do you enjoy doing reading activities at school?,Do you enjoy doing reading activities at school?,Macht es dir Spaß in der Schule zu lesen? ,Do you enjoy doing reading activities at school?,Do you enjoy doing reading activities at school?,
MathEnjoy,"survey, Thoughts & Feelings",Do you enjoy doing math activities at school?,¿Te gusta hacer actividades de matemáticas en el colegio?,Hast du Spaß am Fach Mathe?,Do you enjoy doing math activities at school?,Do you enjoy doing math activities at school?,Hast du Spaß am Fach Mathe?,Do you enjoy doing math activities at school?,Do you enjoy doing math activities at school?,
ReadingGood,"survey, Thoughts & Feelings",Are you good at reading?,¿Eres bueno o buena para la lectura?,Bist du gut im Lesen?,Are you good at reading?,Are you good at reading?,Bist du gut im Lesen?,Are you good at reading?,Are you good at reading?,
MathGood,"survey, Thoughts & Feelings",Are you good at math?,¿Eres bueno o buena para las matemáticas?,Bist du gut in Mathe?,Are you good at math?,Are you good at math?,Bist du gut in Mathe?,Are you good at math?,Are you good at math?,
GrowthMindSmart,"survey, Thoughts & Feelings",Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,Algunos niños y niñas piensan que pueden ser más inteligentes si se esfuerzan mucho. ¿Crees que tú puedes ser más inteligente si te esfuerzas mucho?,"Manche Kinder glauben, dass sie schlauer werden können, wenn sie sich anstrengen. Bist du auch der Meinung, dass du schlauer werden kannst, wenn du dich anstrengst?",Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,"Manche Kinder glauben, dass sie schlauer werden können, wenn sie sich anstrengen. Bist du auch der Meinung, dass du schlauer werden kannst, wenn du dich anstrengst?",Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,
GrowthMindRead,"survey, Thoughts & Feelings",Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,Algunos niños y niñas creen que pueden mejorar en lectura si se esfuerzan mucho. ¿Crees que tú puedes mejorar en lectura si te esfuerzas mucho?,"Manche Kinder glauben, dass sie besser lesen können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass du besser lesen kannst, wenn du dich richtig anstrengst?",Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,"Manche Kinder glauben, dass sie besser lesen können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass du besser lesen kannst, wenn du dich richtig anstrengst?",Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,
GrowthMindMath,"survey, Thoughts & Feelings",Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,Algunos niños y niñas creen que pueden mejorar en matemáticas si se esfuerzan mucho. ¿Crees que tú puedes mejorar en matemáticas si te esfuerzas mucho?,"Manche Kinder glauben, dass sie in Mathematik besser werden können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass man in Mathe besser wird, wenn man sich richtig anstrengt?",Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,"Manche Kinder glauben, dass sie in Mathematik besser werden können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass man in Mathe besser wird, wenn man sich richtig anstrengt?",Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,
ChildSurveyRespoonses,"survey, Thoughts & Feelings","No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time","No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre","Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer","No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time","No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time","Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer","No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time","No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",
